Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your respective functional unit from the dropdown below.,Other (please specify),"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Ranking wellness activities preference and participation(1 least 10 highest)- ZUMBA,Ranking wellness activities preference and participation(1 least 10 highest)- SWIMMING,Ranking wellness activities preference and participation(1 least 10 highest)- HIKING,Ranking wellness activities preference and participation(1 least 10 highest)- CYCLING,Ranking wellness activities preference and participation(1 least 10 highest)- RUNNING,Ranking wellness activities preference and participation(1 least 10 highest)- FOOTBALL,Ranking wellness activities preference and participation(1 least 10 highest)- MEN’ S CAVE,Ranking wellness activities preference and participation(1 least 10 highest)- LADIES CLUB,Ranking wellness activities preference and participation(1 least 10 highest)- BOOK CLUB,Ranking wellness activities preference and participation(1 least 10 highest)- DIET/NUTRITION PROGRAMS,Ranking wellness activities preference and participation(1 least 10 highest)- STAIRCASE/STEP CHALLENGE,Ranking wellness activities preference and participation(1 least 10 highest)- MEDITATION/YOGA/MUSIC,Ranking wellness activities preference and participation(1 least 10 highest)- QUIZ DAYS,Ranking wellness activities preference and participation(1 least 10 highest)- Other (please specify),Which of the above would you like to join as a champion or a committee member?,Champion/Committee inerested joining - ZUMBA,Champion/Committee inerested joining - SWIMMING,Champion/Committee inerested joining - HIKING,Champion/Committee inerested joining - CYCLING,Champion/Committee inerested joining - RUNNING,Champion/Committee inerested joining - FOOTBALL,Champion/Committee inerested joining - MEN'S CAVE,Champion/Committee inerested joining - LADIES CLUB,Champion/Committee inerested joining - BOOK CLUB,Champion/Committee inerested joining - DIET/NUTRITION PROGRAMS,Champion/Committee inerested joining - STAIRCASE/STEP CHALLENGE,Champion/Committee inerested joining - MEDITATION/YOGA/MUSIC,Champion/Committee inerested joining - QUIZ DAYS,Please reflect on the Mental wellness-related issues listed below and tick the areas you would  like us to address in our regular wellness sessions (tick more than one option).,Mental wellness issues requested to adress - Work/job-related stressors,Mental wellness issues requested to adress - Building Healthy families,Mental wellness issues requested to adress - Emotional Wellbeing,Mental wellness issues requested to adress - Financial Wellbeing,"Mental wellness issues requested to adress - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental wellness issues requested to adress - Substance and Drug Dependence,Mental wellness issues requested to adress - Healthy Relationships,Mental wellness issues requested to adress - Unresolved Childhood Difficulties,Mental wellness issues requested to adress - Anxiety and Depression,Mental wellness issues requested to adress - Work-life balance,Mental wellness issues requested to adress - Lifestyle diseases management,Mental wellness issues requested to adress - Effective Parenting skills (Managing children and teenagers),Mental wellness issues requested to adress - Other (please specify),Which of the following training programs would you like to attend?,Training programs interested joining - Mental Health Peer counsellor,Training programs interested joining - Baby minder trainings (training for your nannies),Training programs interested joining - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training programs interested joining - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training programs interested joining - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health and wellbeing clubs interested joining - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Health and wellbeing clubs interested joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health and wellbeing clubs interested joining - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Health and wellbeing clubs interested joining - Other (please specify)
114509420855.0,I Agree (Continue with Survey),Male,41-45 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,5,4,7,6,8,8,8,4,1,5,5,7,5,5,,,,,,,,FOOTBALL,,,,,,,,,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114509417993.0,I Agree (Continue with Survey),Male,26-30 years,Hospitality,,10,7,6,10,10,10,4,7,,8,8,10,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114509396853.0,I Agree (Continue with Survey),Male,26-30 years,Facilities,,10,10,10,10,10,10,10,10,9,9,9,10,10,10,,,,,,,,FOOTBALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114509392517.0,I Agree (Continue with Survey),Male,46-50 years,"Security, Logistics and admissions",,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,MEN'S CAVE,,,,,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114509382860.0,I Agree (Continue with Survey),Male,50+ years,"Security, Logistics and admissions",,10,10,1,10,5,1,2,2,1,1,10,1,10,5,,,ZUMBA,,,,,,,,,,,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,Substance and Drug Dependence,,,Anxiety and Depression,Work-life balance,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114509365739.0,I Agree (Continue with Survey),Female,50+ years,"Student Life (Residential, Sports)",,6,6,7,7,7,8,6,7,7,8,9,7,6,7,,,,,,,,,,,,,STAIRCASE/STEP CHALLENGE,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,,,,Lifestyle diseases management,,,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114509336213.0,I Agree (Continue with Survey),Male,31-35 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,8,2,5,6,7,3,3,2,,8,,,,,,GYM/AEROBICS,,,,,,,,,,,,,,,,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114509335383.0,I Agree (Continue with Survey),Male,36-40 years,Facilities,,10,10,5,9,1,6,1,10,10,10,5,4,10,10,,,,,,,,FOOTBALL,,,,,,,,,,,,,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114508174798.0,I Agree (Continue with Survey),Male,36-40 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,10,,,,,,,,,,9,,8,,,,,,,,,,,,,,,,,,,,Emotional Wellbeing,Financial Wellbeing,,,,,,,,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114507704645.0,I Agree (Continue with Survey),Female,31-35 years,Hospitality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114507694292.0,I Agree (Continue with Survey),Male,41-45 years,"Student Life (Residential, Sports)",,1,1,1,3,2,3,1,1,,2,2,8,8,9,,,,,,,,,,,,,STAIRCASE/STEP CHALLENGE,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,Unresolved Childhood Difficulties,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114507632136.0,I Agree (Continue with Survey),Female,41-45 years,Hospitality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114507616412.0,I Agree (Continue with Survey),Male,36-40 years,ICT,,9,1,3,2,2,6,2,6,1,1,8,9,1,1,,GYM/AEROBICS,,,HIKING,,,,,,,,,,,,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114507610756.0,I Agree (Continue with Survey),Female,46-50 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,9,8,9,5,3,2,1,1,9,9,10,7,1,3,,,,SWIMMING,,,,,,,,,,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,,,,,,,Work-life balance,Lifestyle diseases management,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114507608482.0,I Agree (Continue with Survey),Female,36-40 years,Brand & Communications,,10,10,10,5,1,3,1,1,10,7,10,5,10,6,,,,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114507595897.0,I Agree (Continue with Survey),Female,26-30 years,Other (please specify),Clinic ,8,9,6,10,1,1,1,1,10,5,10,10,9,10,,,,,HIKING,,,,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114507591976.0,I Agree (Continue with Survey),Male,26-30 years,Facilities,,5,5,8,6,8,8,6,4,,,5,5,4,4,,,,,,,RUNNING,,,,,,,,,,,,,Financial Wellbeing,,,,,,,,,,,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114507592656.0,I Agree (Continue with Survey),Male,41-45 years,"Student Life (Residential, Sports)",,10,,10,7,5,,,,,,5,,,,,GYM/AEROBICS,,SWIMMING,HIKING,,,,,,,DIET/NUTRITION PROGRAMS,,,,Personal issues,,,Emotional Wellbeing,,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114507590190.0,I Agree (Continue with Survey),Male,36-40 years,Finance and Procurement,,10,9,8,7,1,9,1,4,1,7,7,8,2,4,,GYM/AEROBICS,,,,,,,,,,,,,,,Work/job-related stressors,,,Financial Wellbeing,,,,,,,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114507589670.0,I Agree (Continue with Survey),Male,31-35 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,10,5,5,10,10,10,1,1,1,1,10,10,3,1,,GYM/AEROBICS,,,,,RUNNING,,,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114507585963.0,I Agree (Continue with Survey),Female,41-45 years,"Student Life (Residential, Sports)",,5,5,4,4,1,5,1,,9,8,8,6,9,8,,,,,,,,,,LADIES CLUB,,,,MEDITATION/YOGA/MUSIC,QUIZ DAYS,,Work/job-related stressors,,,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114507586459.0,I Agree (Continue with Survey),Female,41-45 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,10,,,7,,9,,,,,,9,,,,GYM/AEROBICS,,,,,,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114507586730.0,I Agree (Continue with Survey),Female,31-35 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114506675057.0,I Agree (Continue with Survey),Female,46-50 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,5,6,9,3,1,1,2,,5,5,10,5,5,3,,,,,,,,,,,,,,,,,Work/job-related stressors,,,,,,,,,Work-life balance,Lifestyle diseases management,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,,,
114506488130.0,I Agree (Continue with Survey),Female,31-35 years,Hospitality,,9,8,1,1,9,5,10,,6,3,1,4,3,6,,GYM/AEROBICS,ZUMBA,,,CYCLING,,FOOTBALL,,,,DIET/NUTRITION PROGRAMS,,,,Personal issues,,,,,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114506471322.0,I Agree (Continue with Survey),Male,46-50 years,"Student Life (Residential, Sports)",,5,2,2,5,5,5,5,3,3,3,5,2,5,,,,,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,,,Emotional Wellbeing,,,,,,,,,,,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114506178478.0,I Agree (Continue with Survey),Female,31-35 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,6,10,7,7,10,6,6,10,10,10,10,6,10,10,,,ZUMBA,,,CYCLING,,,,,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,QUIZ DAYS,,Work/job-related stressors,,,,,,,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114506103429.0,I Agree (Continue with Survey),Male,31-35 years,"Student Life (Residential, Sports)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114506096653.0,I Agree (Continue with Survey),Male,26-30 years,Hospitality,,5,1,5,5,5,3,1,2,,,1,1,5,1,,GYM/AEROBICS,,,,,,,,,,,,,,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114506092864.0,I Agree (Continue with Survey),Female,31-35 years,Facilities,,10,8,10,5,2,6,10,1,10,1,10,10,10,8,,GYM/AEROBICS,,SWIMMING,,,,,,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,MEDITATION/YOGA/MUSIC,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
