Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your respective functional unit from the dropdown below,Please select your categorization of work locations,"Rank of wellness activity preference/participation(1 least 10 highest) - Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Rank of wellness activity preference/participation(1 least 10 highest) - ZUMBA,Rank of wellness activity preference/participation(1 least 10 highest) - SWIMMING,Rank of wellness activity preference/participation(1 least 10 highest) - HIKING,Rank of wellness activity preference/participation(1 least 10 highest) - CYCLING,Rank of wellness activity preference/participation(1 least 10 highest) - RUNNING,Rank of wellness activity preference/participation(1 least 10 highest) - FOOTBALL,Rank of wellness activity preference/participation(1 least 10 highest) - MEN’ S CAVE,Rank of wellness activity preference/participation(1 least 10 highest) - LADIES CLUB,Rank of wellness activity preference/participation(1 least 10 highest) - BOOK CLUB,Rank of wellness activity preference/participation(1 least 10 highest) - DIET/NUTRITION PROGRAMS,Rank of wellness activity preference/participation(1 least 10 highest) - STAIRCASE/STEP CHALLENGE,Rank of wellness activity preference/participation(1 least 10 highest) - QUIZ DAYS,Rank of wellness activity preference/participation(1 least 10 highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Would Like to join as Champion/Committee member - ZUMBA,Would Like to join as Champion/Committee member - SWIMMING,Would Like to join as Champion/Committee member - HIKING,Would Like to join as Champion/Committee member - CYCLING,Would Like to join as Champion/Committee member - RUNNING,Would Like to join as Champion/Committee member - FOOTBALL,Would Like to join as Champion/Committee member - MEN'S CAVE,Would Like to join as Champion/Committee member - LADIES CLUB,Would Like to join as Champion/Committee member - BOOK CLUB,Would Like to join as Champion/Committee member - DIET/NUTRITION PROGRAMS,Would Like to join as Champion/Committee member - STAIRCASE/STEP CHALLENGE,Would Like to join as Champion/Committee member - QUIZ DAYS,"Please reflect on the Mental wellness-related issues listed below and tick the areas you would like us to address in our regular wellness sessions (where applicable, tick more than one option).",Mental Wellness Issues Would Like Addressed - Work/job-related stressors,Mental Wellness Issues Would Like Addressed - Building Healthy families,Mental Wellness Issues Would Like Addressed - Emotional Wellbeing,Mental Wellness Issues Would Like Addressed - Financial Wellbeing,"Mental Wellness Issues Would Like Addressed - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental Wellness Issues Would Like Addressed - Substance and Drug Dependence,Mental Wellness Issues Would Like Addressed - Healthy Relationships,Mental Wellness Issues Would Like Addressed - Unresolved Childhood Difficulties,Mental Wellness Issues Would Like Addressed - Anxiety and Depression,Mental Wellness Issues Would Like Addressed - Work-life balance,Mental Wellness Issues Would Like Addressed - Lifestyle diseases management,Mental Wellness Issues Would Like Addressed - Effective Parenting skills (Managing children and teenagers),Mental Wellness Issues Would Like Addressed - Other (please specify),Which of the following training programs would you like to attend?,Training Programs Would Like To Attend - Mental Health Peer counsellor,Training Programs Would Like To Attend - Baby minder trainings (training for your nannies),Training Programs Would Like To Attend - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training Programs Would Like To Attend - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training Programs Would Like To Attend - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Wellbeing Clubs Would Like To Join - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Wellbeing Clubs Would Like To Join - Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",Wellbeing Clubs Would Like To Join - Other (please specify),What is the most important thing for you when it comes to well-being?,Are you enrolled in any wellbeing program or initiative?,"If yes, kindly state",Have you had any annual wellness checkups this year?
114902374544.0,I Agree (Continue with Survey),Male,46-50 years,Global Program - Partnership,Hybrid,1,3,1,1,1,1,1,4,,1,4,8,1,Walking,,,,,,,,,,,,STAIRCASE/STEP CHALLENGE,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,,Mental wellness.,Yes,Personify,Yes
114902331577.0,I Agree (Continue with Survey),Male,50+ years,Global Program - Program Support,Hybrid,,,10,,,,,,,,,10,,,,,SWIMMING,HIKING,,,,MEN'S CAVE,,,,STAIRCASE/STEP CHALLENGE,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Personal health,No,,Yes
114902318746.0,I Agree (Continue with Survey),Male,31-35 years,Global Program - Partnership,Field Based,10,1,1,10,7,3,9,10,,10,9,10,10,,GYM/AEROBICS,,,HIKING,CYCLING,,FOOTBALL,MEN'S CAVE,,BOOK CLUB,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,QUIZ DAYS,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Health,No,,No
114902298213.0,I Agree (Continue with Survey),Male,31-35 years,Global Program - Program Support,Hybrid,9,5,10,6,8,7,5,9,1,7,8,5,6,,GYM/AEROBICS,,SWIMMING,,CYCLING,,,MEN'S CAVE,,BOOK CLUB,DIET/NUTRITION PROGRAMS,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,Anxiety and Depression,,Lifestyle diseases management,,,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Mental health and Physical health ,No,,No
114902282556.0,I Agree (Continue with Survey),Male,31-35 years,Global Program - Business Support,Hybrid,7,7,6,5,,7,6,6,7,9,9,8,10,,,,,HIKING,,,FOOTBALL,MEN'S CAVE,,,,,,,,,,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,,Work-life balance,,,,,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,,,No,,No
114902263739.0,I Agree (Continue with Survey),Male,36-40 years,Global Program - Business Support,Hybrid,10,10,10,10,10,1,1,6,,7,10,4,6,,,,,,CYCLING,,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),,,,Mental Health and Sports,Yes,cycling,Yes
114902215334.0,I Agree (Continue with Survey),Female,50+ years,People & Culture,Home based,,,,,,,,,,,9,,,,,,,,,,,,LADIES CLUB,,DIET/NUTRITION PROGRAMS,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,health,Yes,Personify health,No
114902138023.0,I Agree (Continue with Survey),Male,41-45 years,Global Program - Partnership,Field Based,10,1,9,1,4,7,5,1,1,2,8,4,4,Indoor games ,GYM/AEROBICS,,SWIMMING,,,,,,,,DIET/NUTRITION PROGRAMS,,,,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,Baby minder trainings (training for your nannies),,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Spiritua-physical wellbeing ,Yes,Gym and family therapy,Yes
114902087531.0,I Agree (Continue with Survey),Female,26-30 years,Global Program - Program Support,Hybrid,10,10,7,6,10,6,2,1,5,5,5,5,5,,GYM/AEROBICS,,,,,,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Peace of mind,No,,No
114902083755.0,I Agree (Continue with Survey),Female,31-35 years,People & Culture,Home based,,,,10,,8,,,9,,10,,,,,,SWIMMING,,,,,,,,,,,,,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,,Lifestyle diseases management,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Mental health and fitness.,No,,Yes
114902062646.0,I Agree (Continue with Survey),Male,36-40 years,Global Program - Program Support,Home based,1,1,1,1,1,1,1,1,1,1,7,10,1,Walking,,,,,,,,,,BOOK CLUB,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Physical wellness Work-life balance Financial wellness Spiritual wellness,Yes,Steps challenge,No
114902063783.0,I Agree (Continue with Survey),Male,36-40 years,Global Program - Partnership,Field Based,4,1,5,8,1,5,1,1,1,3,2,1,1,Na,,,SWIMMING,HIKING,,,,MEN'S CAVE,,BOOK CLUB,,,,,,Building Healthy families,,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),,,,Work life balance ,No,,No
114902059331.0,I Agree (Continue with Survey),Female,31-35 years,Finance,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114902054437.0,I Agree (Continue with Survey),Female,31-35 years,Information Technology,Hybrid,4,4,1,10,2,9,7,,5,,3,8,6,,,ZUMBA,SWIMMING,,,,,,,,,,QUIZ DAYS,,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,My mental health and physical health,No,,No
