Respondent ID,Please select your gender ,Kindly select your age group,Please select your local business unit,"Overall, how do you rate the state of your mental well-being?",Please reflect on the mental wellness related issues listed below and select all the areas you would like us to address in our regular sessions.,Mental wellness issues requested to address - Emotional intelligence,Mental wellness issues requested to address - Financial constraints,Mental wellness issues requested to address - Trauma,Mental wellness issues requested to address - Work Life Balance,Mental wellness issues requested to address - Substance and Drug Dependence,Mental wellness issues requested to address - Bereavement and Loss,Mental wellness issues requested to address - Relationship Difficulties,Mental wellness issues requested to address - Unresolved Childhood Difficulties,Mental wellness issues requested to address - Anxiety and Depression,Mental wellness issues requested to address - Other (please specify),What challenges are you currently facing?  ,Current challenges facing employees - Fear of the unknown,Current challenges facing employees - Anxiety,Current challenges facing employees - Feeling overwhelmed and isolated,Current challenges facing employees - Fear of contracting Covid-19,Current challenges facing employees - Financial issues,Current challenges facing employees - Relationship issues,Current challenges facing employees - Fear of losing my job,Current challenges facing employees - Parenting,Current challenges facing employees - Other (please specify),"Over the last month, have you had difficulty sleeping?",Do you have trouble thinking clearly?,Do you cry more than usual?,Do you find it difficult to enjoy your daily activities?,Do you find it difficult to make decisions?,Are you unable to play a useful part in life?,Have you lost interest in things you previously enjoyed doing?,"To what extent do you agree with the following statement ""I feel I have nothing to look forward to""",Has the thought of ending your life been on your mind?,Do you feel tired all the time?,On what areas would you require support on?,Would you like us to connect you and/or your dependents with our professional counselors for support?  
118024922527.0,Female,35-44,PPMZ,Fair,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Work Life Balance,,Bereavement and Loss,Relationship Difficulties,,Anxiety and Depression,,Work life balance,,Anxiety,Feeling overwhelmed and isolated,,Financial issues,,,Parenting,,Yes,No,Yes,Yes,No,Sometimes,Yes,Agree,No,Yes,Motivation ,Yes
118024921303.0,Female,25-34,PPMZ,Fair,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,Relationship Difficulties,,Anxiety and Depression,,Work life balance,,Anxiety,,,,Relationship issues,Fear of losing my job,Parenting,,Yes,Maybe,Yes,Sometimes,Sometimes,No,Yes,Agree,Yes,Yes,Emotional support ,No
118024911084.0,Male,25-34,PPMZ,Fair,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Work Life Balance,,,,,Anxiety and Depression,,,,,,,Financial issues,,,,,Yes,Yes,No,Yes,Sometimes,Yes,Yes,Strongly agree,No,Yes,,No
118024906808.0,Female,25-34,PLAZ,Fair,,,Financial constraints,,,,,Relationship Difficulties,,,,,,,,,Financial issues,Relationship issues,,,,No,Yes,No,No,No,Yes,Yes,Disagree,No,Yes,Handling disappointment,Yes
118024903074.0,Female,25-34,PPMZ,Fair,,Emotional intelligence,Financial constraints,,Work Life Balance,,Bereavement and Loss,,,,,,Fear of the unknown,,Feeling overwhelmed and isolated,,Financial issues,,,,,Yes,Maybe,No,Sometimes,Yes,No,No,Disagree,No,Sometimes,Fear of the unknown and how to deal with bereavement loss,No
118024895088.0,Male,25-34,PLAZ,Fair,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,,Work life balance,,Anxiety,,,Financial issues,,,,,No,Yes,No,Sometimes,Sometimes,No,Yes,Agree,No,Yes,,No
118024890347.0,Male,25-34,PAUL,Fair,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Work Life Balance,Substance and Drug Dependence,Bereavement and Loss,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,Work life balance,,,,Fear of contracting Covid-19,Financial issues,Relationship issues,,,,No,Yes,No,Yes,Yes,Yes,Yes,Strongly agree,No,No,finance,No
118024888540.0,Female,25-34,PAUL,Fair,Work/job related stressors,,,,Work Life Balance,,,,,Anxiety and Depression,,Work life balance,,Anxiety,Feeling overwhelmed and isolated,,,,,,,Yes,Maybe,No,Sometimes,No,No,Yes,Strongly disagree,No,Yes,,No
118024885344.0,Female,25-34,PAUL,Fair,,Emotional intelligence,Financial constraints,,,,,Relationship Difficulties,,Anxiety and Depression,,,Fear of the unknown,Anxiety,Feeling overwhelmed and isolated,,Financial issues,,,,,Yes,Yes,Yes,Sometimes,Sometimes,No,Yes,Strongly disagree,No,Yes,Finance,Yes
118024878649.0,Male,25-34,PLAZ,Excellent,Work/job related stressors,,Financial constraints,Trauma,Work Life Balance,Substance and Drug Dependence,Bereavement and Loss,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,Work life balance,,,Feeling overwhelmed and isolated,,,,,,,No,No,No,No,No,No,Yes,Disagree,No,Sometimes,Work life balance ,Yes
118024875110.0,Male,35-44,PLAZ,Excellent,,,Financial constraints,,,,,,,,,,,,,,Financial issues,,,,,No,Maybe,No,No,Sometimes,No,Maybe,Disagree,No,Sometimes,,No
118024873836.0,Male,35-44,PLAZ,Excellent,,,Financial constraints,,,,,,,,,,,,,,Financial issues,,,,,No,Maybe,No,No,Sometimes,No,Maybe,Disagree,No,Sometimes,How to diversify and be financially stable,No
118024872122.0,Female,25-34,PAUL,Poor,Work/job related stressors,Emotional intelligence,,,Work Life Balance,,,,,Anxiety and Depression,,Work life balance,,Anxiety,Feeling overwhelmed and isolated,,,,Fear of losing my job,,,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes,Neutral,No,Sometimes,I need to talk to a counsellor ,Yes
118024870230.0,Female,25-34,PLAZ,Good,,,,,Work Life Balance,,,,,,,Work life balance,,,,,,,,,,No,No,No,No,Sometimes,Yes,No,Strongly disagree,No,Sometimes,,No
118024869188.0,Male,25-34,PAUL,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,Relationship Difficulties,,,,,Fear of the unknown,,,,Financial issues,,,,,Yes,Maybe,No,No,No,No,Maybe,Disagree,No,Sometimes,Financial support considering the increasing cost of living,No
118024862737.0,Female,25-34,PAUL,Fair,,Emotional intelligence,,,,,,,,,,,,,,,Financial issues,,,,,No,Maybe,No,Sometimes,Sometimes,Sometimes,Maybe,Disagree,No,Sometimes,,No
118024862299.0,Female,25-34,PAUL,Fair,,,Financial constraints,,,,,,,,,,,,,,Financial issues,,,,,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes,Neutral,No,Sometimes,"Increase in the salary, the bills are just too many",No
118024860780.0,Female,25-34,PAUL,Fair,Work/job related stressors,,,,Work Life Balance,,,,,,,Work life balance,,,Feeling overwhelmed and isolated,,Financial issues,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Neutral,No,Yes,Work life balance,Yes
118024859007.0,Female,25-34,PAUL,Fair,,,Financial constraints,Trauma,Work Life Balance,,,,Unresolved Childhood Difficulties,,,,,Anxiety,Feeling overwhelmed and isolated,,,,,,,No,Maybe,Yes,Sometimes,Sometimes,Sometimes,Maybe,Disagree,No,Sometimes,,No
118024854958.0,Male,25-34,PLAZ,Excellent,Work/job related stressors,Emotional intelligence,,,Work Life Balance,,,,,,,Work life balance,,,,,,,,,,No,No,No,Sometimes,No,No,Maybe,Disagree,No,No,Work Life Balance,No
118024854056.0,Female,45-54,PLAZ,Good,Work/job related stressors,,,,Work Life Balance,,,,,,,,,,,,Financial issues,,,,,No,No,No,Sometimes,Sometimes,No,No,Disagree,No,No,coping with work related stress,No
118024852339.0,Male,25-34,PAUL,Excellent,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Work Life Balance,Substance and Drug Dependence,Bereavement and Loss,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,Work life balance,Fear of the unknown,,,,,Relationship issues,,,,Yes,Yes,No,Sometimes,Sometimes,No,Maybe,Disagree,No,Sometimes,Relationship management,Yes
118024848633.0,Male,35-44,PAUL,Fair,Work/job related stressors,Emotional intelligence,,,Work Life Balance,,Bereavement and Loss,Relationship Difficulties,,,,Work life balance,,Anxiety,,,,,Fear of losing my job,,,No,Yes,No,Sometimes,Yes,No,No,Strongly disagree,No,Yes,dealing with work stressors,Yes
118024848478.0,Female,25-34,PAUL,Fair,,,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,,Work life balance,Fear of the unknown,Anxiety,Feeling overwhelmed and isolated,,Financial issues,,,,,Yes,Maybe,No,Sometimes,Sometimes,Sometimes,Maybe,Disagree,No,Sometimes,,No
118024845986.0,Female,25-34,PLAZ,Good,,,Financial constraints,,Work Life Balance,,,Relationship Difficulties,Unresolved Childhood Difficulties,,,,Fear of the unknown,Anxiety,,,Financial issues,Relationship issues,,Parenting,,Yes,Maybe,No,Sometimes,Sometimes,Sometimes,Maybe,Strongly disagree,No,Sometimes,Finance and relationship ,Yes
118024844412.0,Female,45-54,PLAZ,Excellent,,,,,,Substance and Drug Dependence,,,,,,Work life balance,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,No,Sometimes,All areas ,Yes
118024843476.0,Male,25-34,PAUL,Fair,,,,,Work Life Balance,,,,,,,,,Anxiety,,,,,,,,No,No,No,No,No,No,No,Agree,No,No,Anxiety,Yes
118024842706.0,Male,25-34,PAUL,Good,,Emotional intelligence,,,Work Life Balance,,,,,,,Work life balance,,,,Fear of contracting Covid-19,,,,,,No,No,No,Sometimes,Sometimes,No,Maybe,Strongly disagree,No,No,,No
118024841436.0,Male,25-34,PAUL,Good,,Emotional intelligence,,,Work Life Balance,,,,,,,Work life balance,,,,Fear of contracting Covid-19,,,,,,No,No,No,Sometimes,Sometimes,No,Maybe,Strongly disagree,No,No,Work life balance,No
118024839363.0,Male,25-34,PAUL,Good,,,Financial constraints,,Work Life Balance,,,,Unresolved Childhood Difficulties,,,Work life balance,,,,,Financial issues,,Fear of losing my job,Parenting,,No,No,No,No,Sometimes,No,Maybe,Neutral,No,Sometimes,,No
118024839261.0,Male,35-44,PLAZ,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,,,,,,Fear of contracting Covid-19,Financial issues,,,,,No,Maybe,No,Yes,Sometimes,No,Maybe,Neutral,No,Sometimes,Pru is a great place to work and I love the culture being promoted by the new MD. We have gone to watch a movie as a company and we are doing it again this Friday. May such initiatives continue. I will need to work out more and Rest and start feeling energised again,Yes
118024838839.0,Male,35-44,PPMZ,Good,,,Financial constraints,,Work Life Balance,,,,,,,Work life balance,Fear of the unknown,,,,,,,,,Yes,No,No,No,No,No,Yes,Disagree,No,Sometimes,Financial stress,Yes
118024837522.0,Male,25-34,PAUL,Excellent,,,,,Work Life Balance,,,Relationship Difficulties,,Anxiety and Depression,,Work life balance,,,Feeling overwhelmed and isolated,,,,,,,No,No,No,No,No,No,Yes,Disagree,No,No,feeling isolated,No
118024836825.0,Male,35-44,PAUL,Good,Work/job related stressors,Emotional intelligence,,,,,,,,Anxiety and Depression,,,,Anxiety,,,,,,,,No,Maybe,No,,Sometimes,Sometimes,Maybe,Strongly disagree,No,Yes,Anxiety,No
118024835498.0,Female,35-44,PLAZ,Fair,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,Bereavement and Loss,Relationship Difficulties,,Anxiety and Depression,,,Fear of the unknown,,Feeling overwhelmed and isolated,,Financial issues,Relationship issues,,Parenting,Breavement and loss,Yes,Yes,Yes,Sometimes,Sometimes,No,Maybe,Neutral,Yes,Yes,"I feel i need support in three quarters of my life area e.g my family, my work ,my life as a person",Yes
118024835094.0,Female,25-34,PLAZ,Poor,Work/job related stressors,,Financial constraints,Trauma,Work Life Balance,,,,Unresolved Childhood Difficulties,,,Work life balance,Fear of the unknown,,Feeling overwhelmed and isolated,,Financial issues,,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Agree,Yes,Yes,,No
118024832112.0,Male,35-44,PLAZ,Excellent,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Work Life Balance,,Bereavement and Loss,,Unresolved Childhood Difficulties,Anxiety and Depression,,Work life balance,Fear of the unknown,,,Fear of contracting Covid-19,,,Fear of losing my job,,,Yes,No,No,Sometimes,No,Yes,Yes,Strongly disagree,No,Sometimes,Mentorship ,No
118024832094.0,Female,25-34,PLAZ,Good,,,Financial constraints,,,,,,,,,,,,,,Financial issues,,,,,Yes,Maybe,No,Sometimes,Sometimes,Sometimes,Maybe,Neutral,Yes,Sometimes,Financial,Yes
118024832082.0,Male,35-44,PLAZ,Excellent,,Emotional intelligence,,,,,,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,,,Anxiety,,,Financial issues,Relationship issues,,Parenting,,Yes,No,No,Sometimes,Sometimes,Yes,Yes,Strongly disagree,Yes,Sometimes,Financial and family handling ,No
118024831188.0,Male,25-34,PLAZ,Fair,,,Financial constraints,,Work Life Balance,,,,,,,Work life balance,,,,,Financial issues,,,,,No,Maybe,No,No,Sometimes,No,No,Disagree,No,Yes,Financial and work life balance ,No
118024831152.0,Female,35-44,PLAZ,Fair,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,Relationship Difficulties,,Anxiety and Depression,,,,Anxiety,Feeling overwhelmed and isolated,,Financial issues,,,Parenting,Stress from being a single parent and caring for my sick mother,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,No,Strongly disagree,No,Yes, Coping with family obligations and work,Yes
118024830865.0,Female,25-34,PLAK,Good,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Work Life Balance,,Bereavement and Loss,,,Anxiety and Depression,,Work life balance,Fear of the unknown,,,,Financial issues,,,,"Work,school and parenting balance ",No,Maybe,Yes,Sometimes,No,No,Yes,Disagree,No,Sometimes,"Work,school balance ",No
118024830124.0,Male,35-44,PLAZ,Excellent,,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,,,,,,,,Financial issues,Relationship issues,,,,No,No,No,No,No,No,No,Strongly disagree,No,No,Financial management ,Yes
118024827724.0,Male,25-34,PLAZ,Poor,,,Financial constraints,,Work Life Balance,,Bereavement and Loss,,,Anxiety and Depression,,Work life balance,,,,,Financial issues,,,,,Yes,Yes,Yes,Sometimes,Yes,Sometimes,Yes,Strongly agree,Yes,Yes,Financial ,Yes
118024827617.0,Male,25-34,PLAZ,Good,,,,,Work Life Balance,,,,,,,Work life balance,Fear of the unknown,,,,,,Fear of losing my job,,,No,No,No,No,Sometimes,No,No,Disagree,No,No,Decision making,Yes
118024827595.0,Female,25-34,PLAZ,Good,Work/job related stressors,,Financial constraints,,Work Life Balance,,Bereavement and Loss,,,,,,,,Feeling overwhelmed and isolated,,Financial issues,,,,,No,No,No,No,No,No,No,Strongly disagree,No,No,"Financial, Work Load, Handling Subordinates",No
118024827276.0,Female,35-44,PLAZ,Fair,Work/job related stressors,,,,,,,,,,,Work life balance,,,,,,,,,,Yes,No,No,Sometimes,No,No,No,Disagree,No,Yes,,No
118024826918.0,Male,25-34,PLAZ,Fair,,,Financial constraints,,,,,,,,,,,,,,Financial issues,,,,,No,Yes,No,Sometimes,Sometimes,No,Yes,Agree,No,Yes,Someone to talk to,No
118024826106.0,Male,25-34,PLAZ,Good,Work/job related stressors,,Financial constraints,,Work Life Balance,,,Relationship Difficulties,,,,,Fear of the unknown,,,,Financial issues,,Fear of losing my job,,,No,No,No,No,No,Sometimes,No,Disagree,No,No,,No
118024825861.0,Male,35-44,PLAZ,,,,,,Work Life Balance,,,Relationship Difficulties,,Anxiety and Depression,,,,,,,,Relationship issues,,,,Yes,No,No,No,No,No,No,Disagree,No,Sometimes,Emotional balance,Yes
118024825617.0,Female,25-34,PLAZ,Good,Work/job related stressors,,,,Work Life Balance,Substance and Drug Dependence,,,Unresolved Childhood Difficulties,Anxiety and Depression,,Work life balance,Fear of the unknown,Anxiety,,,,,,,,Yes,Maybe,No,Sometimes,Yes,No,Yes,Disagree,No,No,Anxiety and overthinking ,Yes
118024824989.0,Male,35-44,PASL,Good,Work/job related stressors,,Financial constraints,,,,Bereavement and Loss,,,,,,,,Feeling overwhelmed and isolated,,,,Fear of losing my job,,,No,Maybe,No,Sometimes,No,No,Maybe,Strongly disagree,No,Sometimes,Finances,No
118024823758.0,Male,25-34,PLAZ,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,Relationship Difficulties,,Anxiety and Depression,,Work life balance,,,,,Financial issues,Relationship issues,Fear of losing my job,,,Yes,Maybe,No,Sometimes,Sometimes,Sometimes,Maybe,Strongly agree,No,Sometimes,Financial & relationships,Yes
118024817274.0,Female,25-34,PASL,Good,,Emotional intelligence,Financial constraints,,,,,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,Work life balance,,,,,Financial issues,,Fear of losing my job,,,Yes,Yes,No,Sometimes,Yes,Sometimes,Maybe,Agree,No,Sometimes,Financial literacy band job security,Yes
118024808376.0,Male,45-54,PASL,Excellent,,Emotional intelligence,,,Work Life Balance,,,,,Anxiety and Depression,,,,,,,,,,Parenting,,Yes,Yes,No,Sometimes,No,No,Yes,Disagree,No,Sometimes,Na,Yes
118024807371.0,Female,25-34,PAUL,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,,Work life balance,,Anxiety,,,,,,,,Yes,Yes,Yes,Sometimes,Sometimes,No,Maybe,Neutral,No,Yes,WORK LIFE BALANCE,No
118024802606.0,Female,25-34,PASL,Good,Work/job related stressors,Emotional intelligence,,,Work Life Balance,,,Relationship Difficulties,,Anxiety and Depression,,Work life balance,,Anxiety,Feeling overwhelmed and isolated,,Financial issues,,,,,Yes,Maybe,No,No,Sometimes,No,No,Strongly disagree,No,Sometimes,"Work Life Balance, Emotional Intelligence, Managing work relationships",No
118024801414.0,Male,25-34,PASL,Excellent,,,,,,,Bereavement and Loss,,,,,,,,,,,,,,,No,No,No,No,No,No,No,Strongly disagree,No,No,,No
118024620630.0,Male,25-34,PAUL,Excellent,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,Bereavement and Loss,Relationship Difficulties,,Anxiety and Depression,,,,,,,Financial issues,,,,,No,No,No,Sometimes,No,No,No,Strongly agree,No,Sometimes,Financial Areas,No
118024426031.0,Female,35-44,PAUL,Good,Work/job related stressors,,Financial constraints,,,Substance and Drug Dependence,,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,Work life balance,,Anxiety,,,Financial issues,,,,,No,Maybe,No,Sometimes,Sometimes,No,Maybe,Disagree,No,Sometimes,Work related stress and financial constraints ,No
118024404164.0,Male,35-44,PAUL,Good,,,,,,,,,,Anxiety and Depression,,,,Anxiety,,,,,Fear of losing my job,,,No,No,No,No,No,No,No,Strongly disagree,No,Sometimes,,No
118024403706.0,Male,35-44,PAUL,Good,,,,,,,,,,Anxiety and Depression,,,,Anxiety,,,,,Fear of losing my job,,,No,No,No,No,No,No,No,Strongly disagree,No,Sometimes,Nothing specific,No
118024354386.0,Female,35-44,PAUL,Fair,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,,,Work life balance,,Anxiety,,,Financial issues,,,Parenting,,No,Yes,Yes,Yes,Yes,No,Yes,Disagree,No,Yes,Flexiworking,Yes
118024333490.0,Male,25-34,PAUL,Fair,Work/job related stressors,,Financial constraints,,Work Life Balance,,,,,,,Work life balance,,,,,Financial issues,,,,,No,Yes,No,No,No,Yes,Yes,Disagree,No,Yes,Financials,No
118024330795.0,Male,25-34,PPMZ,Excellent,Work/job related stressors,,Financial constraints,,,,,,,Anxiety and Depression,,,,,Feeling overwhelmed and isolated,,Financial issues,,,,,No,Maybe,No,Sometimes,Sometimes,No,Yes,Strongly disagree,No,Yes,Work stress relief and financial education,Yes
118024290103.0,Female,25-34,PAUL,Good,Work/job related stressors,Emotional intelligence,,,Work Life Balance,,,,,,,Work life balance,,,,,,,,,,No,No,No,No,No,No,No,Strongly disagree,No,Sometimes,WORK LIFE BALANCE,No
118024221316.0,Male,45-54,PAUL,Excellent,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,,,Fear of the unknown,,,,Financial issues,,Fear of losing my job,,,No,No,No,No,No,No,No,Strongly disagree,No,Sometimes,financial support and motivative speeches,No
118024174100.0,Male,35-44,PAUL,Good,Work/job related stressors,,,,,,,,,,,,,Anxiety,,,,,,,,No,No,No,No,No,No,Yes,Disagree,No,No,Breaking barriers ,No
118024168344.0,Male,25-34,PAUL,Excellent,,Emotional intelligence,,,,,,,,,,,,,,,Financial issues,,,,,No,No,No,No,No,No,No,Strongly agree,No,No,,No
118024164017.0,Female,25-34,PAUL,Fair,Work/job related stressors,Emotional intelligence,,,Work Life Balance,,,Relationship Difficulties,,Anxiety and Depression,,Work life balance,Fear of the unknown,Anxiety,Feeling overwhelmed and isolated,,,,Fear of losing my job,,,No,Yes,No,Sometimes,Sometimes,Sometimes,Maybe,Disagree,No,Yes,All,Yes
118024123960.0,Female,25-34,PAUL,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,Unresolved Childhood Difficulties,Anxiety and Depression,,Work life balance,Fear of the unknown,Anxiety,,,Financial issues,,Fear of losing my job,,,No,No,No,Sometimes,Sometimes,No,Maybe,Strongly disagree,No,Sometimes,,No
118024121860.0,Female,25-34,PAUL,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,Unresolved Childhood Difficulties,Anxiety and Depression,,Work life balance,Fear of the unknown,Anxiety,,,Financial issues,,Fear of losing my job,,,No,No,No,Sometimes,Sometimes,No,Maybe,Strongly disagree,No,Sometimes,Create career pathway,No
118024105400.0,Female,25-34,PAUL,Fair,Work/job related stressors,,Financial constraints,,Work Life Balance,,,,,,none,Work life balance,,,,,Financial issues,,,,none,Yes,No,Yes,Sometimes,Sometimes,No,No,Strongly disagree,No,Sometimes,Financial areas,No
