Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please tick your respective functional unit below,Other (please specify),"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Ranking wellness activities preference and participation(1 least 10 highest) - ZUMBA,Ranking wellness activities preference and participation(1 least 10 highest) - SWIMMING,Ranking wellness activities preference and participation(1 least 10 highest) - HIKING,Ranking wellness activities preference and participation(1 least 10 highest) - CYCLING,Ranking wellness activities preference and participation(1 least 10 highest) - RUNNING,Ranking wellness activities preference and participation(1 least 10 highest) - FOOTBALL,Ranking wellness activities preference and participation(1 least 10 highest) - MEN’ S CAVE,Ranking wellness activities preference and participation(1 least 10 highest) - LADIES CLUB,Ranking wellness activities preference and participation(1 least 10 highest) - BOOK CLUB,Ranking wellness activities preference and participation(1 least 10 highest) - DIET/NUTRITION PROGRAMS,Ranking wellness activities preference and participation(1 least 10 highest) - STAIRCASE/STEP CHALLENGE,Ranking wellness activities preference and participation(1 least 10 highest) - MEDITATION/YOGA/MUSIC,Ranking wellness activities preference and participation(1 least 10 highest) - QUIZ DAYS,Ranking wellness activities preference and participation(1 least 10 highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Wellness activities champion/committee interested joining - ZUMBA,Wellness activities champion/committee interested joining - SWIMMING,Wellness activities champion/committee interested joining - HIKING,Wellness activities champion/committee interested joining - CYCLING,Wellness activities champion/committee interested joining - RUNNING,Wellness activities champion/committee interested joining - FOOTBALL,Wellness activities champion/committee interested joining - MEN'S CAVE,Wellness activities champion/committee interested joining - LADIES CLUB,Wellness activities champion/committee interested joining - BOOK CLUB,Wellness activities champion/committee interested joining - DIET/NUTRITION PROGRAMS,Wellness activities champion/committee interested joining - STAIRCASE/STEP CHALLENGE,Wellness activities champion/committee interested joining - MEDITATION/YOGA/MUSIC,Wellness activities champion/committee interested joining - QUIZ DAYS,Please reflect on the Mental wellness-related issues listed below and tick the areas you would  like us to address in our regular wellness sessions (tick more than one option).,Mental wellness issues requested to adress - Work/job-related stressors,Mental wellness issues requested to adress - Building Healthy families,Mental wellness issues requested to adress - Emotional Wellbeing,Mental wellness issues requested to adress - Financial Wellbeing,"Mental wellness issues requested to adress - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental wellness issues requested to adress - Substance and Drug Dependence,Mental wellness issues requested to adress - Healthy Relationships,Mental wellness issues requested to adress - Unresolved Childhood Difficulties,Mental wellness issues requested to adress - Anxiety and Depression,Mental wellness issues requested to adress - Work-life balance,Mental wellness issues requested to adress - Lifestyle diseases management,Mental wellness issues requested to adress - Effective Parenting skills (Managing children and teenagers),Mental wellness issues requested to adress - Other (please specify),Which of the following training programs would you like to attend?,Training programs interested attending - Mental Health Peer counsellor,Training programs interested attending - Baby minder trainings (training for your nannies),Training programs interested attending - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training programs interested attending - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training programs interested attending - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & wellbeing clubs interested joining - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Health & wellbeing clubs interested joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & wellbeing clubs interested joining - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Health & wellbeing clubs interested joining - Other (please specify)
114450918497.0,I Agree (Continue with Survey),Male,36-40 years,Plant operations,,8,7,5,6,9,8,10,10,5,8,9,9,8,7,,,,,,,,FOOTBALL,,,,,,,,,,,,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114450817307.0,I Agree (Continue with Survey),Male,31-35 years,Plant operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114450788853.0,I Agree (Continue with Survey),Male,41-45 years,Plant operations,,5,5,9,7,7,5,3,10,4,4,7,5,,4,,,,,HIKING,,,,,,,,,,,,,,,,,,Healthy Relationships,,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114450752941.0,I Agree (Continue with Survey),Male,31-35 years,Plant operations,,8,1,1,1,1,10,1,10,1,6,10,8,6,10,,GYM/AEROBICS,,,,,,,MEN'S CAVE,,BOOK CLUB,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,,Amazing choice,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,Wellness,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Amazing choices 
114450705776.0,I Agree (Continue with Survey),Female,36-40 years,Finance,,5,,10,,,,,,,,10,10,,,,,,SWIMMING,,,,,,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,,,Building Healthy families,,Financial Wellbeing,,,,,,,,Effective Parenting skills (Managing children and teenagers),,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114450675439.0,I Agree (Continue with Survey),Female,21-25years,Plant operations,,5,5,6,6,6,10,1,,1,,4,10,10,,,,,SWIMMING,HIKING,CYCLING,RUNNING,,,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114450613095.0,I Agree (Continue with Survey),Female,41-45 years,Supply Chain,,,,1,,,,2,,,,,3,,1,,GYM/AEROBICS,,,,,,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,,,,,,,Work-life balance,,,,,Mental Health Peer counsellor,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
114450600936.0,I Agree (Continue with Survey),Male,31-35 years,Warehousing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114450584688.0,I Agree (Continue with Survey),Male,46-50 years,Plant operations,,,,,,7,,,8,,,,,,,,,,,,CYCLING,,,MEN'S CAVE,,,,,,,Personal issues,,,,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,,Lifestyle diseases management,,,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114449004741.0,I Agree (Continue with Survey),Female,41-45 years,HR,,,,,,7,,,,9,,8,7,,9,,,,,,,,,,,,,,,QUIZ DAYS,,Work/job-related stressors,,,,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
114447529838.0,I Agree (Continue with Survey),Male,31-35 years,Plant operations,,5,5,10,10,10,7,10,10,,5,10,5,10,5,,,,,HIKING,CYCLING,,,,,,,,,,,Work/job-related stressors,Building Healthy families,,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114446052675.0,I Agree (Continue with Survey),Male,31-35 years,Other (please specify),machine operator,,,4,,,1,5,,,,,,2,3,,,,SWIMMING,,,,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,,,Effective Parenting skills (Managing children and teenagers),,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,,,
114445864557.0,I Agree (Continue with Survey),Male,41-45 years,Plant operations,,5,9,1,3,8,5,1,10,8,3,10,7,10,1,,,,,,,,,,,,,,,,,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114445869843.0,I Agree (Continue with Survey),Male,41-45 years,Plant operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114445851876.0,I Agree (Continue with Survey),Male,31-35 years,Plant operations,,7,9,10,2,2,9,5,5,,8,7,5,8,8,,,,,,CYCLING,,,,,,,,,,,,Building Healthy families,,,,,,,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114445822772.0,I Agree (Continue with Survey),Male,31-35 years,Plant operations,,7,10,10,10,10,10,10,10,10,7,7,10,10,10,,,,,,,,,MEN'S CAVE,,,,,,,Personal issues,,,,,,,,Unresolved Childhood Difficulties,,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
114445776567.0,I Agree (Continue with Survey),Male,31-35 years,Plant operations,,4,1,2,8,4,9,5,1,1,5,8,5,4,5,,,,,HIKING,CYCLING,RUNNING,FOOTBALL,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,Substance and Drug Dependence,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,,
114445741045.0,I Agree (Continue with Survey),Male,50+ years,Plant operations,,9,6,5,2,8,10,7,7,1,5,9,9,7,3,,GYM/AEROBICS,,,,,,,,,,,,,,Personal issues,,Building Healthy families,Emotional Wellbeing,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,,,Work-life balance,,,,,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114445701858.0,I Agree (Continue with Survey),Male,31-35 years,Plant operations,,8,8,8,1,1,1,5,1,1,1,1,1,8,,,GYM/AEROBICS,ZUMBA,SWIMMING,,,,FOOTBALL,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,,,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114445662549.0,I Agree (Continue with Survey),Male,26-30 years,Sales & Distribution,,7,3,5,7,3,5,7,2,2,3,4,4,1,2,,GYM/AEROBICS,,,HIKING,,,FOOTBALL,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,,Anxiety and Depression,Work-life balance,,,,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114445677338.0,I Agree (Continue with Survey),Female,36-40 years,Marketing,,5,5,6,9,3,2,1,1,1,,8,5,10,1,,,,SWIMMING,HIKING,,,,,,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,,,,,Lifestyle diseases management,,,,,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114445669905.0,I Agree (Continue with Survey),Male,31-35 years,Sales & Distribution,,10,1,5,6,7,7,10,10,1,7,10,10,1,10,,GYM/AEROBICS,,,HIKING,CYCLING,,FOOTBALL,MEN'S CAVE,,BOOK CLUB,,,,QUIZ DAYS,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,Baby minder trainings (training for your nannies),,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114445663854.0,I Agree (Continue with Survey),Male,26-30 years,Finance,,9,4,4,9,8,8,10,,,10,8,3,3,9,,,,,HIKING,,RUNNING,,,,,,,,,,,,,Financial Wellbeing,,Substance and Drug Dependence,,,,,,,,,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114445661953.0,I Agree (Continue with Survey),Female,31-35 years,Supply Chain,,5,8,8,10,5,8,1,1,1,1,1,8,10,5,,,ZUMBA,SWIMMING,HIKING,CYCLING,,,,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,MEDITATION/YOGA/MUSIC,QUIZ DAYS,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114445656103.0,I Agree (Continue with Survey),Female,26-30 years,Plant operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114445656417.0,I Agree (Continue with Survey),Male,26-30 years,Warehousing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114445104016.0,I Agree (Continue with Survey),Male,50+ years,Plant operations,,,,,,,1,,,,,1,,,,,,,,,,RUNNING,,,,,,,,,,,Building Healthy families,,,,,,,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114444739839.0,I Agree (Continue with Survey),Male,41-45 years,Warehousing,,5,,8,9,8,9,9,10,,,10,10,9,8,,,,,,,,,,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,,,,,Financial Wellbeing,,,,,Anxiety and Depression,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114444606478.0,I Agree (Continue with Survey),Male,41-45 years,MD's office,,9,6,6,5,4,10,10,7,,5,5,7,5,1,,GYM/AEROBICS,,,HIKING,CYCLING,RUNNING,FOOTBALL,MEN'S CAVE,,,,,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,,,,Healthy Relationships,,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114444239602.0,I Agree (Continue with Survey),Male,31-35 years,Plant operations,,5,5,10,10,10,8,6,6,,6,10,10,10,8,,,,SWIMMING,HIKING,CYCLING,RUNNING,,MEN'S CAVE,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,Personal issues,Work/job-related stressors,Building Healthy families,,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,Anxiety and Depression,,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114444227864.0,I Agree (Continue with Survey),Female,36-40 years,Sales & Distribution,,5,2,10,6,8,10,6,5,8,10,10,10,10,7,,,,,,,,,,,,,STAIRCASE/STEP CHALLENGE,,,,,,Emotional Wellbeing,Financial Wellbeing,,,,,,,,,,,Mental Health Peer counsellor,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
114444113327.0,I Agree (Continue with Survey),Male,36-40 years,Plant operations,,5,,6,10,9,3,5,10,,5,10,8,8,8,,,,,HIKING,,,,,,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114444134548.0,I Agree (Continue with Survey),Male,31-35 years,Commercial,,6,3,10,5,1,3,,3,,5,,4,9,3,,,,SWIMMING,,,,,,,,,,,,,,,Emotional Wellbeing,,,Substance and Drug Dependence,,,,,,,,,Mental Health Peer counsellor,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
114443857151.0,I Agree (Continue with Survey),Female,31-35 years,Warehousing,,8,8,7,9,9,5,5,,8,9,9,8,9,8,,,ZUMBA,,HIKING,,,,,,,,,,,,Work/job-related stressors,,,,,,,,Anxiety and Depression,Work-life balance,,,,,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
