Respondent ID,Did you participate in any of the Wellness Month activities or checkups?,"If no, please indicate the reason(s) for not participating: (Select all that apply)",Reason for not participating in wellness activities - Lack of time,Reason for not participating in wellness activities - Not interested,Reason for not participating in wellness activities - Scheduling conflicts,Reason for not participating in wellness activities - Other (please specify),Which wellness checkups or activities did you participate in? (Select all that apply),Wellness Activities participated in - General health checkup,Wellness Activities participated in - Dental checkup,Wellness Activities participated in - Eye examination,Wellness Activities participated in - Mental health counseling,Wellness Activities participated in - Nutritional counseling,Wellness Activities participated in - Other (please specify),How would you score the organization and communication of Wellness Month activities?,How satisfied were you with the following aspects of the wellness checkups and activities?,How satisfied were you with wellness activity - Professionalism of healthcare providers,How satisfied were you with wellness activity - Quality of the services provided,How satisfied were you with wellness activity - Variety of services offered,How satisfied were you with wellness activity - Convenience of service locations,How satisfied were you with wellness activity - Duration of appointments,How would you score your overall experience during Wellness Month?,Did you receive any useful advice or recommendations from the wellness checkups?,"Advice Implementation - If yes, did you implement any of the advice or recommendations?",Do you agree that participating in Wellness Month has had a positive impact on your health and wellbeing?,What additional wellness services or activities would you like to see offered in future Wellness Months?,Do you have any suggestions for improving the current Wellness Month initiative?,Any other comments or feedback about Wellness Month?,How long have you been with the organization?
118666222173.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Satisfied,Satisfied,Satisfied,Disatisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,mental health,Being open to more providers,,More than 5 years
118666208782.0,Yes,Not aware of the activities,,,,,,,,,,,,,,,,,,,,,,,,,,
118666189384.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,General fitness activities for colleagues at the Sport Club grounds,Keep Up with updates to colleagues,Has been useful and helpful,More than 5 years
118666123026.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Disatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,happiness,supportive,increase more vendors eg avenue hospital,More than 5 years
118666115544.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Average,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,No,No,Neutral,Communicate well in advance and organize wellness activities at branch level,Involve upcountry branch colleagues in the activities,nil,More than 5 years
118666113614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118666103849.0,No,,,,Scheduling conflicts,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,Satisfied with what is offered,,,More than 5 years
118666082077.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,spouse and children checkups,maybe to be done twice a year,this is very good gesture from employer,More than 5 years
118666077699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118666054598.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,"pap smear, breast examination",Have a private room in a nearby health facility for pap smear and breast examination,no,More than 5 years
118666068959.0,No,Not aware of the activities,,,,,,,,,,,,,,,,,,,,,,,,,,
118666065401.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Very Good,Yes,Yes,Agree,Testing of blood group and educating colleagues on the importance of knowing their blood group. ,Timeframe to be extended and location at the branch is limting.,none,More than 5 years
118666064264.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,continue with good work,all is well,let it continue ,More than 5 years
118666062217.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Average,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,happy with what is provided ,The build up to the wellness check week should start early enough to enable staff to be aware of it and to attend,It is a great program ,1 - 3 years
118666057826.0,No,Not aware of the activities,,,,,,,,Eye examination,Mental health counseling,,,Average,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Yes,Yes,Agree,Comprehensive check up,,,More than 5 years
118666056207.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,,,,More than 5 years
118666055838.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,,,,,,,,,,,,,,
118666054456.0,No,,,,,i had done a wellness checkup just before ours was launched,None of the above,,,,,,,Good,,,,,,,,,,,,,,
118666054307.0,No,,,,Scheduling conflicts,,,,,,,,,,,,,,,,,,,,,,,
118666052344.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Good,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,variety of service providers e.g for optical checks. Poor quality  spectacles and frames were the only ones offered,SMS could be sent to staff as an addition to the emailers,healthy lifestyle rewards for the year not offered,More than 5 years
118666049520.0,No,Not aware of the activities,Lack of time,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,na,,NO,3 - 5 years
118666048549.0,No,,Lack of time,,,,None of the above,,,,,,,Good,,,,,,,,,,,,,,
118666043999.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Average,,,,,,,,,,,,,,
118665432146.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,cancer sreening,no,good,More than 5 years
118666041181.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,I think it has been okay and i have done the checks that need to be done.,,,More than 5 years
118666041307.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Good,Yes,No,Strongly agree,Cancer screening,,,1 - 3 years
118666040238.0,No,,Lack of time,,Scheduling conflicts,,None of the above,,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,Cancer marker checks - blood tests  Follow up calls by doctors,Create awareness well in advance and have running programms,,Less than 1 year
118666040235.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Agree,,,,More than 5 years
118666033515.0,No,,Lack of time,,,,,General health checkup,,Eye examination,,,,Good,Very Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Good,Yes,Yes,Strongly agree,30 minutes aerobics in branch set up,allow local nutritionist /health practitioner locally to give us a talk regularly,thanks team for caring for us,More than 5 years
118666033498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118666028363.0,Yes,,,,,na,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,So far i am satisfied with the current services,Should include a counsellor for mental health,"It has been a very good exercise for me and all colleagues, and I have realized that I should carry out annual health check for my own personal good.",More than 5 years
118666030751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118665409236.0,No,,,,Scheduling conflicts,,,General health checkup,,,,,,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Good,Yes,Yes,Agree,nil,,,3 - 5 years
118666029384.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Good,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Neutral,Very Good,Yes,Yes,Agree,,,the location for example brnch isnot a good place to take a test like hiv ,More than 5 years
118666027613.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,Went for my check up in AAR. the allocation per family- can it be increased,All good. Just colleagues to own up their health and check how they are doing.,thank you for this,More than 5 years
118666027313.0,No,,,,Scheduling conflicts,,,,,,,,,,,,,,,,,,,,,,,
118666025960.0,Yes,,,,,,,General health checkup,,Eye examination,Mental health counseling,,,Good,Very Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,Helpful supplements,should be more frequent,none,More than 5 years
118666023668.0,No,,,,,am a new employee,None of the above,,,,,,,Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,marriage advice,no really,no,Less than 1 year
118666024486.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,Good,Yes,Yes,Agree,,,,
118666022343.0,No,,,,Scheduling conflicts,,,,,,,,,,,,,,,,,,,,,,,
118666020175.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,No,Agree,,,,More than 5 years
118665440522.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,,,,1 - 3 years
118665742266.0,No,,Lack of time,,Scheduling conflicts,,None of the above,,,,,,,Average,Neutral,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,More detailed communication of what wellness month entails and which services/ activities are available to colleagues,"More detailed communication of when, where and how colleagues can plug in",,More than 5 years
118665734182.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Average,Neutral,Satisfied,Satisfied,Neutral,Disatisfied,Disatisfied,Neutral,No,No,Agree,Full body check up,increase time and visibility,none,More than 5 years
118665684634.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Satisfied,Disatisfied,Neutral,Satisfied,Satisfied,Satisfied,Good,No,No,Agree,,,,
118665466258.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Very Good,,,,,,,,,,,,,,
118665649446.0,Yes,,,,,,,General health checkup,,,,Nutritional counseling,,Very Good,Neutral,Satisfied,Very Satisfied,Disatisfied,Satisfied,Neutral,Very Good,Yes,Yes,Strongly agree,,no,no,3 - 5 years
118665582124.0,No,,Lack of time,,,,None of the above,,,,,,,Good,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Disatisfied,Satisfied,Good,Yes,Yes,Agree,"increase frequency, add locations","increase frequency, add locations",,More than 5 years
118665580313.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,,,,More than 5 years
118665549759.0,No,,,,,I felt that the check up involved so many health providers and therefore disjointed ,None of the above,,,,,,,Average,Disatisfied,Satisfied,Disatisfied,Disatisfied,Satisfied,Disatisfied,Poor,No,No,Disagree,"It doesn't make sense having many practitioners in one place with meagre machines in the name of check up. We need full comprehensive check up in a renowned facility with all machines and devices including scan machines that can scan the whole body and give a full diagnosis of what is right and what is not.for instance MRI, PSA, cancer screening etc.","Stop having disjointed services. If I have a dental referral in one hospital, an eye referral in another, a scam in another, it makes it tideous. A person should just be able to visit one hospital and have the full package done",N/a,1 - 3 years
118665541873.0,Yes,,,,,,,General health checkup,,Eye examination,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,,,,More than 5 years
118664335310.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,Mental health counseling,Nutritional counseling,,Good,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,1.Financial health  2.Physical fitness,Not at the moment,,More than 5 years
118665534708.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,Physio checks to be added,Good enough,Continuous awareness would be encouraged,More than 5 years
118665513065.0,Yes,,,,,,,General health checkup,,Eye examination,,,,Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,follow-up sessions at designated facilities to measure progress for specific markers,none,none,More than 5 years
118665510313.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,Dealing with loss,create more awareness,,More than 5 years
118665506608.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Poor,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,,,,1 - 3 years
118665487120.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Average,Disatisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,No,Agree,Breaking from a busy schedule ,Health breaks - mandatory,N/A ,1 - 3 years
118663719568.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,Menopause challenges,,None.,1 - 3 years
118665483948.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,,,,3 - 5 years
118665464834.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Neutral,Very Satisfied,Very Good,Yes,Yes,Strongly agree,,none,ok,More than 5 years
118665475916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118665468475.0,Yes,,,,,,,,Dental checkup,Eye examination,Mental health counseling,,,Average,Very Disatisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Good,Yes,Yes,Strongly agree,,,,More than 5 years
118665463739.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,thorugh checkups to be done twice a year,thorugh checkups to be done twice a year,,1 - 3 years
118665447351.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,,no,no,More than 5 years
118665455631.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Good,,,,,,,,,,,,,,
118665389429.0,Yes,,,,,,,,Dental checkup,,,,,Good,,,,,,,,,,,,,,
118665446848.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Good,No,No,Agree,Will attend the next one and go from there,,nil,More than 5 years
118665447965.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,,,,More than 5 years
118665434396.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,ok,.,.,More than 5 years
118665430777.0,Yes,,,,,,,General health checkup,,,,,,Average,Very Disatisfied,Satisfied,Satisfied,Satisfied,Neutral,Very Satisfied,Good,Yes,Yes,Agree,nutrition and dietary,make it easy for bookings especially for customer facing staff who work 9-4 during operating hours,they should continue,1 - 3 years
118665420814.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,Thyroid checks especially for the ladies to confirm if hormone levels are in order,,1. Cholesterol checks should yield a report on not just the Total Cholesterol level but break it down to LDL and HDL results - to determine what needs to be adjusted in form of diet and exercise.  2. Ruaraka Sports Club is far. Could we pay Aga Khan High School to use their basketball and open fields after school hours 5-7pm?,More than 5 years
118665398340.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,MAMMOGRAM TESTS,"since most HQ colleagues are WFH, the next wellness fare to be carried out with partners stationed across various branches/ towns within Nairobi, to increase uptake, especially for the colleagues who cannot be present for the checkups at the Hq.",Keep up the good work.   ,More than 5 years
118665418680.0,Yes,,,,,,None of the above,,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,,,,1 - 3 years
118665415142.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,,should be done on a saturday to give ample time instead of being done in the evening ,I appreciate Absa for giving us the opportunity to access wellness services,1 - 3 years
118665415425.0,Yes,,,,,,,General health checkup,,,,,,Average,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,mental,,,More than 5 years
118665412836.0,Yes,,,,,,,General health checkup,Dental checkup,,,,,Good,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Good,Yes,Yes,Agree,fittness / excises advisors,,,More than 5 years
118665396455.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Satisfied,Satisfied,Satisfied,Neutral,Very Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,Support to purchase items that support health lifestyles- sporting wear & gear ,"Relaxation Zones:    Set up relaxation zones with comfortable seating, calming music, and plants to provide a space for participants to unwind.",OK,More than 5 years
118665397390.0,Yes,,,,,,,General health checkup,,,,,,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Good,Yes,Yes,Agree,TRAINING ON PHYSICAL FITNESS AND WOR LIFE BALANCE,SHOULD BE DONE TWICE A YEAR,GREAT ACTIVITY,1 - 3 years
118665382908.0,No,,,,,NOT INFORMED THAT MSPs ARE ELIGIBLE,None of the above,,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,"I did not attend, so I have no idea","I did not attend, so I have no idea",,1 - 3 years
118665401871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118665401335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118665395576.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,create awareness first it seems am not aware of any monthly wellness in upcountry branches.,none,none,More than 5 years
118665394712.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Agree,,,,
118665355897.0,No,Not aware of the activities,,,,,,General health checkup,,,Mental health counseling,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Very Good,Yes,Yes,Agree,,,,More than 5 years
118665392556.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,Mental health counseling,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,More of Mental wellness,,"DENTAL LET US DO, END TO END. GOING TO THE CLINICS IT IS TAKING TOO LONG.",More than 5 years
118665393315.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,OK,NO,NO,More than 5 years
118665392065.0,Yes,,,,,,,,Dental checkup,Eye examination,,,,Very Good,Satisfied,Neutral,Satisfied,Very Satisfied,Satisfied,Neutral,Good,Yes,Yes,Strongly agree,Eye specialist to advice more on eyes management and prevention from poor eyesight,Involve also variety/area practioners,none,More than 5 years
118665394300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118665390620.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,"wellness programme extended to our families, where we have a wellness family week lets say like at Absa sports club.",none ,none ,More than 5 years
118665391312.0,No,,Lack of time,,,,None of the above,,,,,,,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Strongly agree,,,,3 - 5 years
118665376049.0,No,Not aware of the activities,,,,,,General health checkup,Dental checkup,Eye examination,,,,Average,Satisfied,Very Satisfied,Satisfied,Neutral,Very Satisfied,Neutral,Good,Yes,Yes,Agree,general body checkups,"the time taken queuing is a bit long, that can be reduced by increasing the number of medical personnel",I commend the bank for the initiative on wellness and taking it to another level. Grateful ,3 - 5 years
