Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your department from the drop down below,"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Rank of wellness activities preference and participation (1 Least - 10 Highest) - ZUMBA,Rank of wellness activities preference and participation (1 Least - 10 Highest) - SWIMMING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - HIKING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - CYCLING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - RUNNING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - FOOTBALL,Rank of wellness activities preference and participation (1 Least - 10 Highest) - MEN’ S CAVE,Rank of wellness activities preference and participation (1 Least - 10 Highest) - LADIES CLUB,Rank of wellness activities preference and participation (1 Least - 10 Highest) - BOOK CLUB,Rank of wellness activities preference and participation (1 Least - 10 Highest) - DIET/NUTRITION PROGRAMS,Rank of wellness activities preference and participation (1 Least - 10 Highest) - STAIRCASE/STEP CHALLENGE,Rank of wellness activities preference and participation (1 Least - 10 Highest) - MEDITATION/YOGA/MUSIC,Rank of wellness activities preference and participation (1 Least - 10 Highest) - QUIZ DAYS,Rank of wellness activities preference and participation (1 Least - 10 Highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Champion/Committee Interested joining - ZUMBA,Champion/Committee Interested joining - SWIMMING,Champion/Committee Interested joining - HIKING,Champion/Committee Interested joining - CYCLING,Champion/Committee Interested joining - RUNNING,Champion/Committee Interested joining - FOOTBALL,Champion/Committee Interested joining - MEN'S CAVE,Champion/Committee Interested joining - LADIES CLUB,Champion/Committee Interested joining - BOOK CLUB,Champion/Committee Interested joining - DIET/NUTRITION PROGRAMS,Champion/Committee Interested joining - STAIRCASE/STEP CHALLENGE,Champion/Committee Interested joining - MEDITATION/YOGA/MUSIC,Champion/Committee Interested joining - QUIZ DAYS,Please reflect on the Mental wellness-related issues listed below and tick the areas you would  like us to address in our regular wellness sessions (tick more than one option).,Mental Wellness Issue would like addressed - Work/job-related stressors,Mental Wellness Issue would like addressed - Building Healthy families,Mental Wellness Issue would like addressed - Emotional Wellbeing,Mental Wellness Issue would like addressed - Financial Wellbeing,"Mental Wellness Issue would like addressed - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental Wellness Issue would like addressed - Substance and Drug Dependence,Mental Wellness Issue would like addressed - Healthy Relationships,Mental Wellness Issue would like addressed - Unresolved Childhood Difficulties,Mental Wellness Issue would like addressed - Anxiety and Depression,Mental Wellness Issue would like addressed - Work-life balance,Mental Wellness Issue would like addressed - Lifestyle diseases management,Mental Wellness Issue would like addressed - Effective Parenting skills (Managing children and teenagers),Mental Wellness Issue would like addressed - Other (please specify),Which of the following training programs would you like to attend?,Training Program Interested Attending - Mental Health Peer counsellor,Training Program Interested Attending - Baby minder trainings (training for your nannies),Training Program Interested Attending - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training Program Interested Attending - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training Program Interested Attending - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & Wellbeing Club Interest - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Health & Wellbeing Club Interest - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & Wellbeing Club Interest - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Health & Wellbeing Club Interest - Other (please specify)
118723334548.0,I Agree (Continue with Survey),Male,36-40 years,Modern Trade,6,1,1,5,4,6,6,6,1,1,5,3,4,1,,GYM/AEROBICS,,,,,,,,,,,,,,,,,,,,,,,,Work-life balance,,,,,Mental Health Peer counsellor,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118723330603.0,I Agree (Continue with Survey),Female,36-40 years,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118723306774.0,I Agree (Continue with Survey),Male,31-35 years,HVAC [Heating Ventilation & Air Conditioning],1,6,7,5,2,4,3,8,10,,,,,,,GYM/AEROBICS,,,,CYCLING,,FOOTBALL,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,,,,,,,,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118723280714.0,I Agree (Continue with Survey),Female,31-35 years,Retail,2,1,2,1,1,5,1,1,7,1,6,10,5,7,,,,,,,,,,LADIES CLUB,,,,,,,Work/job-related stressors,,,,,,,,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118723281903.0,I Agree (Continue with Survey),Male,21-25years,Retail,7,7,6,5,7,10,10,9,,8,5,10,8,9,,,,,,,RUNNING,FOOTBALL,,,,,,,,Personal issues,,,,,,,,,,,,,,,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118723272251.0,I Agree (Continue with Survey),Male,31-35 years,Modern Trade,7,3,5,5,4,9,6,3,3,2,6,7,4,4,,GYM/AEROBICS,,SWIMMING,HIKING,CYCLING,,,MEN'S CAVE,,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,,Emotional Wellbeing,,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118723273456.0,I Agree (Continue with Survey),Female,26-30 years,Retail,7,7,4,3,4,4,4,,5,5,4,3,4,5,,,,,,,RUNNING,,,LADIES CLUB,,,,,,,,,,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118723251178.0,I Agree (Continue with Survey),Female,31-35 years,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118723248506.0,I Agree (Continue with Survey),Male,26-30 years,Retail,6,6,8,10,10,9,7,8,8,7,8,9,6,4,,GYM/AEROBICS,,,HIKING,CYCLING,,,,,,,STAIRCASE/STEP CHALLENGE,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,,Unresolved Childhood Difficulties,,Work-life balance,Lifestyle diseases management,,,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118723236962.0,I Agree (Continue with Survey),Male,31-35 years,Retail,4,1,1,1,3,6,4,1,,,4,1,3,1,,,,SWIMMING,,,,FOOTBALL,,,,,,,,,,,,Financial Wellbeing,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118723243264.0,I Agree (Continue with Survey),Male,26-30 years,HVAC [Heating Ventilation & Air Conditioning],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118723239380.0,I Agree (Continue with Survey),Female,31-35 years,Retail,9,9,1,6,1,6,1,1,4,1,7,7,8,1,,GYM/AEROBICS,ZUMBA,SWIMMING,,,RUNNING,,,LADIES CLUB,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118723225272.0,I Agree (Continue with Survey),Female,31-35 years,Retail,5,5,5,5,5,5,10,10,5,5,5,5,5,8,,,,,,,RUNNING,,,,,,,,,Personal issues,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118723226022.0,I Agree (Continue with Survey),Male,26-30 years,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118723222758.0,I Agree (Continue with Survey),Male,26-30 years,HVAC [Heating Ventilation & Air Conditioning],5,5,3,4,4,3,5,,,,,,6,,,,,,,,,FOOTBALL,,,,,,,,,,,,Financial Wellbeing,,,,,Anxiety and Depression,,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118723216268.0,I Agree (Continue with Survey),Female,26-30 years,Corporate B2B & Projects,,,5,,,,,,,,,,,,,,,SWIMMING,,,,,,,,,,,,,,,Emotional Wellbeing,Financial Wellbeing,,,,,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118723203051.0,I Agree (Continue with Survey),Male,31-35 years,Retail,5,4,3,5,6,8,5,6,1,4,6,3,4,5,,,,,,CYCLING,RUNNING,FOOTBALL,,,,,STAIRCASE/STEP CHALLENGE,,,Personal issues,,Building Healthy families,,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118723205664.0,I Agree (Continue with Survey),Male,31-35 years,Service Centre,10,1,1,2,2,1,1,1,,1,8,3,10,1,,,,,,,,,MEN'S CAVE,,,,,,,,Work/job-related stressors,,,,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118723203910.0,I Agree (Continue with Survey),Male,26-30 years,Service Centre,9,,,,9,9,,,,,9,9,9,,,GYM/AEROBICS,,,,,RUNNING,,,,,,STAIRCASE/STEP CHALLENGE,MEDITATION/YOGA/MUSIC,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118723204277.0,I Agree (Continue with Survey),Male,31-35 years,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118723200262.0,I Agree (Continue with Survey),Male,31-35 years,Retail,7,1,1,3,3,3,1,1,,1,4,6,6,1,,GYM/AEROBICS,,,,,,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,Substance and Drug Dependence,,,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118723200902.0,I Agree (Continue with Survey),Female,26-30 years,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118723200112.0,I Agree (Continue with Survey),Male,26-30 years,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118723197966.0,I Agree (Continue with Survey),Male,41-45 years,Retail,,,,,,,,9,,,9,,10,,,,,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,,,Emotional Wellbeing,,,,Healthy Relationships,,,,,Effective Parenting skills (Managing children and teenagers),,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118723193977.0,I Agree (Continue with Survey),Male,26-30 years,Corporate B2B & Projects,4,1,1,1,3,5,1,1,,,6,3,7,6,,GYM/AEROBICS,,SWIMMING,HIKING,CYCLING,,,,,BOOK CLUB,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,QUIZ DAYS,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118723194133.0,I Agree (Continue with Survey),Male,36-40 years,ICT & Projects,,,,9,4,4,,,,,,10,,,,,,,,,,,,,,,,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,,,,,,Anxiety and Depression,Work-life balance,,,,,Mental Health Peer counsellor,,,,,,,,,
118723196359.0,I Agree (Continue with Survey),Male,26-30 years,Modern Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118719186643.0,I Agree (Continue with Survey),Male,21-25years,Service Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118715592330.0,I Agree (Continue with Survey),Male,26-30 years,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118714812396.0,I Agree (Continue with Survey),Male,41-45 years,Internal Audit & Security,10,,,,7,,,,,9,6,8,6,,,GYM/AEROBICS,,,,,RUNNING,,,,,,STAIRCASE/STEP CHALLENGE,,,,Work/job-related stressors,,,,,,,,,,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118713980667.0,I Agree (Continue with Survey),Male,26-30 years,Retail,10,,9,8,10,10,7,5,3,,5,10,10,7,,GYM/AEROBICS,,SWIMMING,HIKING,CYCLING,,,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118713945252.0,I Agree (Continue with Survey),Male,36-40 years,Internal Audit & Security,,,,,10,10,10,,,,,,,,,,,,,,RUNNING,,,,,,,,,,,,,,,,,,Anxiety and Depression,,,,,,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118713083385.0,I Agree (Continue with Survey),Female,26-30 years,Retail,1,2,6,2,1,1,1,,5,5,6,6,6,6,,GYM/AEROBICS,,SWIMMING,,,,,,,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,,Emotional Wellbeing,,,,Healthy Relationships,,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118712325628.0,I Agree (Continue with Survey),Male,31-35 years,Service Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118712189995.0,I Agree (Continue with Survey),Male,31-35 years,Service Centre,,,,,,,,,,,,,10,,,,,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,,,,Financial Wellbeing,,,Healthy Relationships,,,,,,,,Mental Health Peer counsellor,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118712180021.0,I Agree (Continue with Survey),Male,36-40 years,Service Centre,7,1,1,1,6,5,1,1,,3,5,,,,,GYM/AEROBICS,,,,,,,,,,,,,,,,,Emotional Wellbeing,Financial Wellbeing,,,,,,,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118712160171.0,I Agree (Continue with Survey),Male,31-35 years,Retail,1,1,5,8,9,9,9,1,1,4,7,6,7,3,,,,,,,,FOOTBALL,,,,,,,,Personal issues,,Building Healthy families,,Financial Wellbeing,,,,,,,,Effective Parenting skills (Managing children and teenagers),,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118712119472.0,I Agree (Continue with Survey),Female,21-25years,Commercial,10,10,8,10,10,10,3,3,7,10,10,8,10,8,,GYM/AEROBICS,,,,,,,,,,,,,,Personal issues,Work/job-related stressors,,,Financial Wellbeing,,,,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118712096363.0,I Agree (Continue with Survey),Male,36-40 years,Internal Audit & Security,10,10,10,10,10,10,5,8,,5,5,10,5,5,,,,,,CYCLING,,,,,,,,,,,,Building Healthy families,,Financial Wellbeing,,,Healthy Relationships,,,,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118712066166.0,I Agree (Continue with Survey),Female,31-35 years,Corporate B2B & Projects,9,9,8,10,1,2,1,1,1,1,9,9,9,1,,,,SWIMMING,,,,,,,,,,,,,Work/job-related stressors,,,,,,,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
