Respondent ID,Branch,Function,Consent for care call engagement,Please select your gender,Kindly select age group,"Are you aware of the current EWP, including health and wellness initiatives offered by the organization?",Did you participate in the wellness caravan during the wellness month?,"If No to Question 10, please state your reason for not participating","Reflecting on your experiences in 2025, which personal factors have affected your well-being? (Select all that apply.)",Personal Factors Affecting Wellbeing - Career/Education,Personal Factors Affecting Wellbeing - Work Stressors,Personal Factors Affecting Wellbeing - Work-Life Imbalance,Personal Factors Affecting Wellbeing - Gen-Z Protests,Personal Factors Affecting Wellbeing - Marital Issues,Personal Factors Affecting Wellbeing - Financial Challenges,Personal Factors Affecting Wellbeing - Relationship Difficulties,Personal Factors Affecting Wellbeing - Parenting Challenges,Personal Factors Affecting Wellbeing - Anxiety/Depression,Personal Factors Affecting Wellbeing - Traumatic Experiences,Personal Factors Affecting Wellbeing - Loss & Grief,Personal Factors Affecting Wellbeing - Alcohol/Dependency,Personal Factors Affecting Wellbeing - Chronic Diseases,Personal Factors Affecting Wellbeing - Other,"During the year 2025, have you accessed the Employee Assistance Program counselling services?","If No to Question 13, please state your reason for not participating","Based on the current economic developments, what financial empowerment programs would you like to be implemented in the EWP program?",Financial Empowerment - Debt Management,Financial Empowerment - Retirement Planning,Financial Empowerment - Investment,Financial Empowerment - Financial Planning,Financial Empowerment - Other,Which areas of mental health and wellbeing would you propose to be included in the wellness program to address your needs?,Mental Health/Wellbeing Focus - Lifestyle Diseases,Mental Health/Wellbeing Focus - Addiction/Stigma,Mental Health/Wellbeing Focus - Men/Women Forum,Mental Health/Wellbeing Focus - Relationships/Marriages,Mental Health/Wellbeing Focus - Parenting/Childcare,Mental Health/Wellbeing Focus - Awareness Sessions,Mental Health/Wellbeing Focus - Financial Literacy,Mental Health/Wellbeing Focus - Workplace Relationships,Mental Health/Wellbeing Focus - Teens Program,Mental Health/Wellbeing Focus - Other,What would you recommend to the organization to cultivate a healthy work environment that promotes maximum productivity? Please prioritize your suggestions:,"Embrace teamwork among colleagues through employee engagement forums/ sporting activities, team building","Initiate family visit days to the office- e.g., during customer service week…",Improve social support structures among employees/team members,State any other program…,I am interested in the Mental Health Peer Counselling Training Program,I am interested in being trained as a wellness champion,Did you participate in the 2024 survey?,"If you participated in the 2024 survey , what changes have you observed",Any suggestions to include in our next survey?
118936019250,Bishops Gate,MONEY MARKET,Yes,Male,35-44,No,No,NO DETAILS ,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,,,,,Investment,,,,Health and well-being including lifestyle diseases,,,,,,,,,,Important,Important,Not Important.,Important,,Yes,Yes,No,NONE,NONE
118936016691,Embu Branch,Sales,Yes,Female,25-34,Yes,No,Was not employed by absa during that time,,"Personal challenges (career growth, education)",Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Anxiety and depression,Traumatic experiences,Not Selected,Not Selected,Not Selected,Not Selected,No,She doesn't have issues that requires her to see a counselor ,,,,Investment,,,Anxiety/depression,,,,,Parenting and childcare,,Money matters/Financial coaching and literacy sessions,,,,Urgent,Important,Urgent,Important,,Yes,Yes,No,,mental health programs
118936022527,Absa Headquarters (KE),asset management,Yes,Male,25-34,Yes,No,not aware,,"Personal challenges (career growth, education)",Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,,,Debt management,,,,,,,,,,,Increased awareness sessions on mental health issues,,,,,Urgent,Urgent,Not Important.,Urgent,,Yes,Yes,No,NONE,NONE
118936033221,Bishops Gate,Operations,Yes,Male,35-44,Yes,No,,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"Chronic Diseases (nuclear family, parents, other extended family members",Not Selected,Yes,,,Debt management,Retirement planning,,,,,,,,,,,,,,WORK LIFE INTEGRATION,Important,Important,Not Important.,Important,,Yes,Yes,Yes,NONE,NONE
118936044603,Absa Headquarters (KE),Finance,Yes,Male,25-34,No,No,NEW TO THE TEAM,,Not Selected,Not Selected,Not Selected,Gen-Z protests,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"Chronic Diseases (nuclear family, parents, other extended family members",Not Selected,No,,,,,Investment,,,,,,,,,Increased awareness sessions on mental health issues,,,,,Important,Important,Not Important.,Important,,No,No,Yes,NONE,NONE
118936054270,Bishops Gate,Customer Service,Yes,Male,25-34,No,Yes,,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Loss and Grief,Not Selected,Not Selected,Not Selected,No,NEW TO THE TEAM,,,Retirement planning,,Financial planning,,,,Dealing with addiction and related stigma,,,,Increased awareness sessions on mental health issues,,,,BETTING ADDICTION,Urgent,Important,Important,Urgent,,Yes,Yes,No,NONE,NONE
118936061381,Absa Headquarters (KE),asset management,Yes,Female,25-34,No,No,NEW TO THE TEAM,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,,,,,,,NONE,,,,,,,,,,,NONE,Important,Important,Important,Important,,No,No,No,NONE,HOW COMFORTABLE EMPLOYESS ARE WORK PLACE
118936074139,Absa Headquarters (KE),Graduate Trainee,Yes,Female,25-34,Yes,No,NEW TO THE TEAM,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,,Personal financial management,,,Investment,,,Anxiety/depression,,,,,,Increased awareness sessions on mental health issues,,,,,Important,Important,Urgent,Important,,No,Yes,Yes,NONE,HOW IS IT WORKING AT ABSA
118936085947,Kericho Branch,Teller/Cashier,Yes,Female,25-34,Yes,No,NEW AT THE TEAM,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,,,,,,Financial planning,,Anxiety/depression,,,,,,,,,,,Important,Important,Not Important.,Not Important.,,Yes,Yes,No,NONE,FIRST QUESTION ARE YOU HAPPY
118936098052,Two Rivers Mall Branch,Teller/Cashier,Yes,Female,Below 25 Years,No,No,WAS ON CONTRACT,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Financial challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,UNDER CONTRACT,,,,,Financial planning,,Anxiety/depression,,,,,,,,,,,Important,Important,Important,Important,,Yes,Yes,No,NONE,NONE
118936107886,Thika Branch,Teller/Cashier,Yes,Female,25-34,Yes,No,UNDER CONTRACT,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,UNDER CONTRACT,,,,,,,,,,,,,,,,,NONE,Important,Important,Important,Important,,Yes,Yes,No,NONE,NONE
118936116230,Bishops Gate,Card Operations,Yes,Male,25-34,No,Yes,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,,,,,Investment,,SACCO,,,,,,,,Money matters/Financial coaching and literacy sessions,,,WORK LIFE INTEGRATION,Important,Important,Important,Important,,Yes,Yes,No,NONE,SOCIAL ECONOMY CONVERSATIONS
118936135282,Bishops Gate,DRIVER,Yes,Male,35-44,Yes,Yes,,,Not Selected,Not Selected,Not Selected,Gen-Z protests,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,ENGAGE THEM IN FUTURE,,,,,,NONE,,,,,,,,,,,NONE,Important,Important,Important,Important,,Yes,Yes,No,NONE,SALARY
118936167004,Absa Headquarters (KE),REINSUREANCE,Yes,Female,25-34,Yes,No,DIDNT HAVE DETAILS,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,ENGAGE IN FUTURE,,,,,,SACCO,,,,,Building healthy relationships/marriages,,,,,,,Important,Important,Urgent,Important,,Yes,Yes,No,NONE,EMPLOYEE COMFORTABILITY AT WORKPLACE
118936183086,Absa Headquarters (KE),Business Banking,Yes,Male,35-44,Yes,Yes,,,Not Selected,Not Selected,Not Selected,Gen-Z protests,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,SAFETY DURING POLITICS,No,ENGAGE IN FUTURE,,,,,Financial planning,,,,,,,,Increased awareness sessions on mental health issues,,"Building healthy relationships at work (colleagues, team leaders, managers)",,,Urgent,Urgent,Not Important.,Important,,Yes,Yes,Yes,COMMUNICATION,SALARY
118936204454,Absa Headquarters (KE),asset management,Yes,Male,35-44,Yes,Yes,,,Not Selected,Not Selected,Not Selected,Not Selected,Marital issues,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,,,,Retirement planning,Investment,,,,,,,Building healthy relationships/marriages,,,,,,,Important,Important,Important,Not Important.,,Yes,Yes,No,NONE,NONE
118936214772,Absa Headquarters (KE),Finance,Yes,Female,45-54,Yes,No,BUSY SCHEDULE,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"Chronic Diseases (nuclear family, parents, other extended family members",Not Selected,No,MANAGING WELL,,,,,,NONE,,,,,,,Increased awareness sessions on mental health issues,,,,,Important,Important,Important,Important,,Yes,Yes,Yes,MENTAL WELLNESS CONVERSATION AND WELLNESS PROGRAM OPERATING BETTER,ASK ABOUT THEIR FAMILIES
118936247296,Meru Branch,Lead Generator (LG),Yes,Female,Below 25 Years,No,No,she had not joined the organization,,Not Selected,Work- and work-related stressors,Not Selected,Not Selected,Not Selected,Financial challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,she has no issue that requires counselling,,,Retirement planning,,,,,,,,Building healthy relationships/marriages,,,Money matters/Financial coaching and literacy sessions,"Building healthy relationships at work (colleagues, team leaders, managers)",,,Important,Urgent,Not Important.,Important,,No,Yes,No,,None at the moment
118936256914,Kericho Branch,Lead Generator (LG),Yes,Male,35-44,Yes,Yes,,,Not Selected,Work- and work-related stressors,Work-life imbalance,Not Selected,Marital issues,Not Selected,Relationship difficulties,Not Selected,Not Selected,Traumatic experiences,Loss and Grief,Not Selected,Not Selected,Not Selected,No,He has no issue that require counselling at the moment,Personal financial management,Debt management,Retirement planning,,,,Anxiety/depression,,Dealing with addiction and related stigma,,Building healthy relationships/marriages,,,Money matters/Financial coaching and literacy sessions,,,,Urgent,Important,Not Important.,Urgent,,Yes,Yes,No,,If the survey can be done twice three times or even quaterly
118936353732,Githunguri Branch,Sales,Yes,Male,25-34,Yes,No,He had not joined the organization,,Not Selected,Not Selected,Work-life imbalance,Not Selected,Not Selected,Financial challenges,Not Selected,Not Selected,Anxiety and depression,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,He has no issue that require counselling,Personal financial management,,,,,,,,,,Building healthy relationships/marriages,,,,,,,Urgent,Urgent,Important,Important,,Yes,No,No,,None at the moment
118936778670,Bunyala Road Branch,Lead Generator (LG),Yes,Female,25-34,Yes,Yes,,,Not Selected,Work- and work-related stressors,Not Selected,Not Selected,Not Selected,Financial challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,didnt have toll free line,Personal financial management,,,Investment,,,,,,,,,Increased awareness sessions on mental health issues,Money matters/Financial coaching and literacy sessions,"Building healthy relationships at work (colleagues, team leaders, managers)",,,Important,Important,Important,Important,,Yes,Yes,Yes,,Include  mentors  
118936807991,Bishops Gate,Collections,Yes,Male,35-44,Yes,No,NO DETAILS,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Financial challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes, COPING WELL,,,,Investment,,,,,,,,,,Money matters/Financial coaching and literacy sessions,,,,Urgent,Urgent,Important,Urgent,,Yes,Yes,Yes,NONE,WORK EXPERIENCE
118936812817,Mbale Branch Kenya,Collections,Yes,Male,35-44,Yes,Yes,,,Not Selected,Not Selected,Not Selected,Gen-Z protests,Not Selected,Not Selected,Not Selected,Parenting challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,,Personal financial management,Debt management,,,,,,,,,Building healthy relationships/marriages,,,,,,,Important,Important,Urgent,Important,,Yes,Yes,No,NONE,
118936822089,Market Branch,DOCUMENTATION,Yes,Male,25-34,Yes,No,DIDNT HAVE DETAILS,,Not Selected,Not Selected,Not Selected,Gen-Z protests,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,COPING WELL,,,,Investment,,,,,,,,,,,,,NONE,Important,Urgent,Important,Urgent,,No,No,Yes,SALARY INCREMENT,MORE ACTIVITIES FOR EMPLOYESS
118936828255,Bishops Gate,Contact Centre,Yes,Female,25-34,Yes,No,,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,,,,,,,NONE,,,,,,,Increased awareness sessions on mental health issues,,,,,Important,Important,Important,Important,,Yes,Yes,Yes,GREAT IMPROVEMENT,NONE
118936833048,Bishops Gate,Contact Centre,Yes,Male,25-34,Yes,Yes,,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Loss and Grief,Not Selected,Not Selected,Not Selected,No,,,,,,Financial planning,,,,,,,,,,,,WORK LIFE INTEGRATION,Important,Important,Important,Important,FAMILY FUN DAY,Yes,No,,,
118936854859,Absa Headquarters (KE),Compliance & Legal,Yes,Female,25-34,Yes,No,,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,AT A GOOD PLACE,No,COPING WELL,,,,Investment,,,,,,,,,,Money matters/Financial coaching and literacy sessions,,,,Urgent,Important,Important,Important,,No,Yes,Yes,NONE,NONE
118936861731,Bishops Gate,SUPPORT ANALYST,Yes,Male,25-34,Yes,No,SCHEDULE,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,NONE,No,IM OKAY,,,,,,NONE,,,,,,,,,,,NONE,Not Important.,Not Important.,Not Important.,Not Important.,,Yes,No,No,NONE,INCLUDE WRITTEN SURVEY
118936866022,Bishops Gate,Operations,Yes,Female,25-34,Yes,Yes,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,,,,,,,NONE,,,,,,,,,,,NONE,Important,Important,Important,Important,,Yes,Yes,No,NONE,NONE
118936869952,Bishops Gate,PAYMENT,Yes,Male,35-44,Yes,No,NEW TO THE BANK,,"Personal challenges (career growth, education)",Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,FEAR OF NOT BEING SUPPORTED,Personal financial management,Debt management,,,,,,,,,,,,Money matters/Financial coaching and literacy sessions,,,,Important,Important,Not Important.,Important,,Yes,Yes,No,NONE,NONE
118936876164,Bishops Gate,Collections,Yes,Female,25-34,Yes,No,NOT AWARE,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,IM COPING WELL,,,,,,SACCO,,,,,,,,,,,NONE,Urgent,Important,Important,Important,,Yes,Yes,No,NONE,NONE
118936895138,Bishops Gate,Collections,Yes,Female,25-34,Yes,No,,,"Personal challenges (career growth, education)",Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Parenting challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,,Personal financial management,,,,,,,,,,,Parenting and childcare,,,,,,Important,Important,Important,Important,,Yes,Yes,No,NONE,NONE
118936903423,Bishops Gate,Operations,Yes,Female,25-34,Yes,No,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,,,,,Investment,,,,,,,,,Increased awareness sessions on mental health issues,,,,,Not Important.,Not Important.,Not Important.,Important,,Yes,Yes,No,NONE,NONE
118936910315,Bishops Gate,Operations,Yes,Female,25-34,Yes,No,W,,"Personal challenges (career growth, education)",Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Loss and Grief,Not Selected,Not Selected,Not Selected,No,PLANNING TO REACHNOUT,,,,Investment,,,,,,,,,,,,,NONE,Important,Important,Important,Important,,Yes,Yes,No,NONE,NONE
118936917402,Absa Headquarters (KE),HR,Yes,Female,35-44,Yes,No,NEW TO THE BANK,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Financial challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,PLANNING TO ACCESS,Personal financial management,,,,,,,,,,,Parenting and childcare,,,,Develop a Teens program on contemporary topics,FERTILITY,Important,Urgent,Important,Urgent,,Yes,Yes,No,NONE,NONE
118936928231,Bishops Gate,Customer Service,Yes,Female,25-34,Yes,No,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,planning to call,,,,Investment,,,,,,,,,,,,,NONE,Important,Important,Not Important.,Important,,Yes,Yes,No,none,none
118936935888,Bishops Gate,Contact Centre,Yes,Male,25-34,Yes,No,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,,Personal financial management,,,Investment,,,,,,,,,,,,,,Important,Important,Not Important.,Important,,Yes,Yes,No,none,none
118936948723,Bishops Gate,Contact Centre,Yes,Female,25-34,No,No,,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"Chronic Diseases (nuclear family, parents, other extended family members",Not Selected,No,,,,,Investment,Financial planning,,,,,,,,Increased awareness sessions on mental health issues,,,,,Important,Important,Urgent,Urgent,YEARLY APPRECIATION AND RECOGNITION,Yes,Yes,Yes,none,NONE
118936956816,Bishops Gate,Collections,Yes,Male,25-34,Yes,No,DIDNT RECEIVE INFORMATION,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Relationship difficulties,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,ACCESS IN FUTURE,,,,,Financial planning,,,,,,Building healthy relationships/marriages,,,,"Building healthy relationships at work (colleagues, team leaders, managers)",,,Important,Important,Not Important.,Important,,Yes,Yes,Yes,NONE,FAMILY ISSUES
118936977067,Bishops Gate,Contact Centre,Yes,Male,25-34,Yes,No,,,Not Selected,Not Selected,Not Selected,Gen-Z protests,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,,,,,Investment,Financial planning,,,,,,,,,,,,COMMUNICATION,Important,Important,Important,Important,,Yes,Yes,No,NONE,NONE
118936986079,Bishops Gate,I.T,Yes,Female,25-34,Yes,No,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,NEW TO THE TEAM,,Debt management,,Investment,Financial planning,,,,,,,,Increased awareness sessions on mental health issues,,,,,Important,Important,Important,Important,,Yes,Yes,No,NONE,NONE
