Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your respective functional unit from the dropdown below.,"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Rank of wellness activities preference and participation (1 Least - 10 Highest) - ZUMBA,Rank of wellness activities preference and participation (1 Least - 10 Highest) - SWIMMING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - HIKING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - CYCLING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - RUNNING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - FOOTBALL,Rank of wellness activities preference and participation (1 Least - 10 Highest) - MEN’ S CAVE,Rank of wellness activities preference and participation (1 Least - 10 Highest) - LADIES CLUB,Rank of wellness activities preference and participation (1 Least - 10 Highest) - BOOK CLUB,Rank of wellness activities preference and participation (1 Least - 10 Highest) - DIET/NUTRITION PROGRAMS,Rank of wellness activities preference and participation (1 Least - 10 Highest) - STAIRCASE/STEP CHALLENGE,Rank of wellness activities preference and participation (1 Least - 10 Highest) - MEDITATION/YOGA/MUSIC,Rank of wellness activities preference and participation (1 Least - 10 Highest) - QUIZ DAYS,Which of the above would you like to join as a champion or a committee member?,Which wellness activities would you like to join as a champion/committee member - ZUMBA,Which wellness activities would you like to join as a champion/committee member - SWIMMING,Which wellness activities would you like to join as a champion/committee member - HIKING,Which wellness activities would you like to join as a champion/committee member - CYCLING,Which wellness activities would you like to join as a champion/committee member - RUNNING,Which wellness activities would you like to join as a champion/committee member - FOOTBALL,Which wellness activities would you like to join as a champion/committee member - MEN'S CAVE,Which wellness activities would you like to join as a champion/committee member - LADIES CLUB,Which wellness activities would you like to join as a champion/committee member - BOOK CLUB,Which wellness activities would you like to join as a champion/committee member - DIET/NUTRITION PROGRAMS,Which wellness activities would you like to join as a champion/committee member - STAIRCASE/STEP CHALLENGE,Which wellness activities would you like to join as a champion/committee member - MEDITATION/YOGA/MUSIC,Which wellness activities would you like to join as a champion/committee member - QUIZ DAYS,Please reflect on the Mental wellness-related issues listed below and tick the areas you would  like us to address in our regular wellness sessions (tick more than one option).,Mental wellness issues to address in sessions - Work/job-related stressors,Mental wellness issues to address in sessions - Building Healthy families,Mental wellness issues to address in sessions - Emotional Wellbeing,Mental wellness issues to address in sessions - Financial Wellbeing,"Mental wellness issues to address in sessions - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental wellness issues to address in sessions - Substance and Drug Dependence,Mental wellness issues to address in sessions - Healthy Relationships,Mental wellness issues to address in sessions - Unresolved Childhood Difficulties,Mental wellness issues to address in sessions - Anxiety and Depression,Mental wellness issues to address in sessions - Work-life balance,Mental wellness issues to address in sessions - Lifestyle diseases management,Mental wellness issues to address in sessions - Effective Parenting skills (Managing children and teenagers),Which of the following training programs would you like to attend?,Training programs Interested attending - Mental Health Peer counsellor,Training programs Interested attending - Baby minder trainings (training for your nannies),Training programs Interested attending - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training programs Interested attending - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Which of the health and wellbeing clubs below would you be interested to join?,Health & wellbeing clubs Interested joining - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Health & wellbeing clubs Interested joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & wellbeing clubs Interested joining - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118529700260.0,I Agree (Continue with Survey),Male,31-35 years,Conservation,5,5,6,10,5,8,5,5,4,3,9,4,9,5,,,,HIKING,,,,,,,,,,,,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,,,,,,Work-life balance,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118529626453.0,I Agree (Continue with Survey),Male,41-45 years,Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118529140223.0,I Agree (Continue with Survey),Male,46-50 years,Conservation,6,3,4,4,6,5,3,6,1,2,6,5,4,4,GYM/AEROBICS,,SWIMMING,,CYCLING,,,MEN'S CAVE,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118529096471.0,I Agree (Continue with Survey),Male,36-40 years,Conservation,1,2,3,,2,3,7,4,,4,,,6,,,,,,,,FOOTBALL,,,,,,,,,Work/job-related stressors,Building Healthy families,,,,,,Unresolved Childhood Difficulties,,,,Effective Parenting skills (Managing children and teenagers),Wellness coordinators/ Ambassador for Change,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118529085517.0,I Agree (Continue with Survey),Male,31-35 years,Planning and Performance,9,3,7,5,6,5,8,7,,4,9,8,2,5,,,,,,,,,,,,,,,,,,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118529008887.0,I Agree (Continue with Survey),Female,46-50 years,Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118528979970.0,I Agree (Continue with Survey),Female,36-40 years,Planning and Performance,9,7,9,9,6,9,1,1,9,8,10,9,9,5,,,SWIMMING,,,,,,LADIES CLUB,BOOK CLUB,DIET/NUTRITION PROGRAMS,,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,Lifestyle diseases management,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118528971621.0,I Agree (Continue with Survey),Female,46-50 years,Operations,3,1,7,8,1,1,1,1,8,10,8,9,1,8,,,,,,,,,,,,,,,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),Wellness coordinators/ Ambassador for Change,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118528957722.0,I Agree (Continue with Survey),Female,26-30 years,Conservation,8,8,3,10,2,1,6,5,10,6,4,2,10,1,GYM/AEROBICS,,,HIKING,CYCLING,,,,,,,,MEDITATION/YOGA/MUSIC,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,Work-life balance,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,
118528944433.0,I Agree (Continue with Survey),Female,26-30 years,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118528939685.0,I Agree (Continue with Survey),Female,41-45 years,Other (please specify),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118528931609.0,I Agree (Continue with Survey),Male,36-40 years,Fundraising,10,5,9,9,9,6,9,10,1,8,10,10,10,10,GYM/AEROBICS,,,,,,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118528915568.0,I Agree (Continue with Survey),Female,26-30 years,Operations,6,,8,8,8,,,,7,5,6,,,8,,,,,,,,,,,,,,QUIZ DAYS,,Work/job-related stressors,,Emotional Wellbeing,,,,,,,Work-life balance,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118528862231.0,I Agree (Continue with Survey),Male,46-50 years,Conservation,10,7,6,9,4,6,7,5,4,6,6,7,7,6,GYM/AEROBICS,,,HIKING,,,,,,,,,,,,,,Emotional Wellbeing,,,Substance and Drug Dependence,,,,,Lifestyle diseases management,,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118528858143.0,I Agree (Continue with Survey),Male,41-45 years,Conservation,3,1,1,10,8,5,3,,,7,10,6,5,10,,,,,,,,,,BOOK CLUB,DIET/NUTRITION PROGRAMS,,,QUIZ DAYS,,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118528847583.0,I Agree (Continue with Survey),Female,41-45 years,Conservation,1,1,1,10,1,7,1,1,6,10,1,1,10,1,,,,,,,,,,BOOK CLUB,,,,,,Work/job-related stressors,,,,,,,,Anxiety and Depression,,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",
118528835924.0,I Agree (Continue with Survey),Female,26-30 years,People and Culture,10,8,7,10,10,7,3,,5,2,5,1,1,3,GYM/AEROBICS,,,HIKING,CYCLING,,,,,,,,,,,,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,,,,,,Baby minder trainings (training for your nannies),,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118528821776.0,I Agree (Continue with Survey),Female,31-35 years,Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118528819048.0,I Agree (Continue with Survey),Female,26-30 years,Conservation,8,5,8,6,8,6,5,5,9,7,6,6,6,5,GYM/AEROBICS,,,,CYCLING,,,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,Anxiety and Depression,Work-life balance,,,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",
118528818836.0,I Agree (Continue with Survey),Female,26-30 years,Operations,1,1,4,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,Work-life balance,,,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118528818364.0,I Agree (Continue with Survey),Male,21-25years,Finance,8,8,7,7,9,9,9,10,1,8,10,10,10,10,GYM/AEROBICS,,,HIKING,,,FOOTBALL,MEN'S CAVE,,,,,,,Personal issues,Work/job-related stressors,,,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,,,,,,Mental Health Peer counsellor,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118528818228.0,I Agree (Continue with Survey),Male,31-35 years,Operations,4,2,2,6,10,6,5,8,,4,4,7,9,6,,,,HIKING,CYCLING,RUNNING,,MEN'S CAVE,,,,,MEDITATION/YOGA/MUSIC,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,Substance and Drug Dependence,Healthy Relationships,,Anxiety and Depression,,,,,Mental Health Peer counsellor,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,
118528816444.0,I Agree (Continue with Survey),Male,26-30 years,Conservation,1,1,1,1,1,1,1,1,1,5,1,1,1,1,GYM/AEROBICS,,SWIMMING,,CYCLING,,,,,BOOK CLUB,DIET/NUTRITION PROGRAMS,,,,,,,Emotional Wellbeing,Financial Wellbeing,,,,,,,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",
118507758046.0,I Agree (Continue with Survey),Male,Below 20 years,Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118507751793.0,I Agree (Continue with Survey),Male,21-25years,People and Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
