Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your respective functional unit from the dropdown below.,"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - ZUMBA,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - SWIMMING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - HIKING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - CYCLING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - RUNNING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - FOOTBALL,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - MEN’ S CAVE,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - LADIES CLUB,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - BOOK CLUB,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - DIET/NUTRITION PROGRAMS,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - STAIRCASE/STEP CHALLENGE,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - MEDITATION/YOGA/MUSIC,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - QUIZ DAYS (TRIVIA DAYS),Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Wellness Activity Would Like To Join AS Champion or Committee Member - ZUMBA,Wellness Activity Would Like To Join AS Champion or Committee Member - SWIMMING,Wellness Activity Would Like To Join AS Champion or Committee Member - HIKING,Wellness Activity Would Like To Join AS Champion or Committee Member - CYCLING,Wellness Activity Would Like To Join AS Champion or Committee Member - RUNNING,Wellness Activity Would Like To Join AS Champion or Committee Member - FOOTBALL,Wellness Activity Would Like To Join AS Champion or Committee Member - MEN'S CAVE,Wellness Activity Would Like To Join AS Champion or Committee Member - LADIES CLUB,Wellness Activity Would Like To Join AS Champion or Committee Member - BOOK CLUB,Wellness Activity Would Like To Join AS Champion or Committee Member - DIET/NUTRITION PROGRAMS,Wellness Activity Would Like To Join AS Champion or Committee Member - STAIRCASE/STEP CHALLENGE,Wellness Activity Would Like To Join AS Champion or Committee Member - MEDITATION/YOGA/MUSIC,Wellness Activity Would Like To Join AS Champion or Committee Member - QUIZ DAYS,Please reflect on the Mental wellness-related issues listed below and tick the areas you would  like us to address in our regular wellness sessions (tick more than one option).,Mental Wellness Issues Would Like Addressed - Work/job-related stressors,Mental Wellness Issues Would Like Addressed - Building Healthy families,Mental Wellness Issues Would Like Addressed - Emotional Wellbeing,Mental Wellness Issues Would Like Addressed - Financial Wellbeing,"Mental Wellness Issues Would Like Addressed - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental Wellness Issues Would Like Addressed - Substance and Drug Dependence,Mental Wellness Issues Would Like Addressed - Healthy Relationships,Mental Wellness Issues Would Like Addressed - Unresolved Childhood Difficulties,Mental Wellness Issues Would Like Addressed - Anxiety and Depression,Mental Wellness Issues Would Like Addressed - Work-life balance,Mental Wellness Issues Would Like Addressed - Lifestyle diseases management,Mental Wellness Issues Would Like Addressed - Effective Parenting skills (Managing children and teenagers),Mental Wellness Issues Would Like Addressed - Other (please specify),Which of the following training programs would you like to attend?,Training Programs Interested Attending - Mental Health Peer counsellor,Training Programs Interested Attending - Baby minder trainings (training for your nannies),Training Programs Interested Attending - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training Programs Interested Attending - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training Programs Interested Attending - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & Wellbeing Clubs Interested Joining - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Health & Wellbeing Clubs Interested Joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & Wellbeing Clubs Interested Joining - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Health & Wellbeing Clubs Interested Joining - Other (please specify)
118805799805.0,I Agree (Continue with Survey),Female,21-25years,Customer Experience,9,,,,,,,,,,,,,,,GYM/AEROBICS,,,HIKING,,,,,,,,,,,,,,,Financial Wellbeing,,,,,,,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118805791465.0,I Agree (Continue with Survey),Male,21-25years,Hospital Operations,1,1,1,1,1,1,5,1,1,1,1,1,1,1,,GYM/AEROBICS,,,,,,FOOTBALL,,,,,,,,,Work/job-related stressors,,,Financial Wellbeing,,,,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795639623.0,I Agree (Continue with Survey),Male,36-40 years,Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118805518631.0,I Agree (Continue with Survey),Female,26-30 years,Customer Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118805476765.0,I Agree (Continue with Survey),Male,26-30 years,Hospital Operations,10,1,5,1,2,10,10,1,1,1,1,9,1,1,,GYM/AEROBICS,,SWIMMING,HIKING,CYCLING,RUNNING,FOOTBALL,,,,DIET/NUTRITION PROGRAMS,,,QUIZ DAYS,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,,,,,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118805429265.0,I Agree (Continue with Survey),Male,26-30 years,Hospital Operations,8,3,5,6,10,5,3,5,1,5,5,6,4,5,,GYM/AEROBICS,,SWIMMING,HIKING,,,,,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,MEDITATION/YOGA/MUSIC,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118805409682.0,I Agree (Continue with Survey),Male,26-30 years,Hospital Operations,10,3,9,5,5,9,10,10,,2,5,2,2,5,,GYM/AEROBICS,,SWIMMING,,CYCLING,,FOOTBALL,MEN'S CAVE,,,DIET/NUTRITION PROGRAMS,,,QUIZ DAYS,,Work/job-related stressors,,,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,Financial programs,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118805324282.0,I Agree (Continue with Survey),Male,36-40 years,Human Resources,4,1,10,,3,2,3,1,1,1,3,7,1,5,,,,SWIMMING,,,,,,,,,,,,,,Building Healthy families,,Financial Wellbeing,,,,,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118805205007.0,I Agree (Continue with Survey),Male,36-40 years,Business Development,9,1,8,6,9,9,6,10,,,9,9,8,8,,GYM/AEROBICS,,SWIMMING,,CYCLING,RUNNING,,MEN'S CAVE,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,QUIZ DAYS,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118805203185.0,I Agree (Continue with Survey),Male,41-45 years,Human Resources,1,1,1,1,3,2,1,5,,4,6,7,7,4,,,,,,,,,,,BOOK CLUB,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118805151641.0,I Agree (Continue with Survey),Female,21-25years,Technology,10,8,7,6,3,1,1,4,5,1,10,8,1,8,,GYM/AEROBICS,,SWIMMING,,,,,,,,DIET/NUTRITION PROGRAMS,,,,Personal issues,,,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,Unresolved Childhood Difficulties,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118805122641.0,I Agree (Continue with Survey),Male,31-35 years,Customer Relations,1,1,6,1,1,1,1,5,1,1,1,6,1,10,,,,SWIMMING,HIKING,,,FOOTBALL,,,BOOK CLUB,,,,,,,,,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118805039646.0,I Agree (Continue with Survey),Male,31-35 years,Technology,4,1,2,8,9,5,7,8,1,7,7,8,8,9,,,,,HIKING,CYCLING,,FOOTBALL,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,,,,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118805106666.0,I Agree (Continue with Survey),Male,31-35 years,Hospital Operations,5,7,10,7,1,7,6,10,10,1,9,7,10,5,,,,SWIMMING,HIKING,,,FOOTBALL,MEN'S CAVE,,,,STAIRCASE/STEP CHALLENGE,,,Personal issues,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118805104937.0,I Agree (Continue with Survey),Female,31-35 years,Human Resources,8,10,9,10,8,10,10,9,8,6,10,9,10,,,GYM/AEROBICS,ZUMBA,,HIKING,,RUNNING,FOOTBALL,,LADIES CLUB,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,,,Emotional Wellbeing,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,,,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118805068891.0,I Agree (Continue with Survey),Male,26-30 years,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118805058415.0,I Agree (Continue with Survey),Male,31-35 years,Human Resources,9,7,8,10,10,8,7,7,1,1,6,7,7,5,,,,,HIKING,CYCLING,,,MEN'S CAVE,,,,STAIRCASE/STEP CHALLENGE,,QUIZ DAYS,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118805060172.0,I Agree (Continue with Survey),Female,31-35 years,Business Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118805053217.0,I Agree (Continue with Survey),Male,50+ years,Finance,4,,,7,,10,,,,,,6,9,,,,,,,,RUNNING,,,,,,,MEDITATION/YOGA/MUSIC,,Personal issues,,,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,Unresolved Childhood Difficulties,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118805047350.0,I Agree (Continue with Survey),Male,31-35 years,Hospital Operations,1,1,10,1,1,1,10,1,1,1,1,1,1,1,BASKETBALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118805034226.0,I Agree (Continue with Survey),Female,26-30 years,Customer Experience,10,8,1,7,9,7,2,3,8,8,10,7,9,7,,GYM/AEROBICS,,,HIKING,,,,,LADIES CLUB,,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118805029989.0,I Agree (Continue with Survey),Female,36-40 years,Operations,,8,6,4,10,4,4,,6,6,6,8,4,10,,,ZUMBA,,,,,,,,,,,,QUIZ DAYS,,,Building Healthy families,,,,,Healthy Relationships,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,,Baby minder trainings (training for your nannies),,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118805019722.0,I Agree (Continue with Survey),Male,36-40 years,Hospital Operations,8,2,8,6,8,7,9,9,9,4,9,9,3,2,,,,,,CYCLING,,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118805005695.0,I Agree (Continue with Survey),Female,21-25years,Hospital Operations,5,8,3,1,1,1,1,1,7,9,9,1,10,9,,,,,,,,,,,BOOK CLUB,,,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,,,,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118805005124.0,I Agree (Continue with Survey),Female,31-35 years,Human Resources,1,3,8,5,1,1,1,1,8,2,10,5,10,,,,,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,Unresolved Childhood Difficulties,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,,Baby minder trainings (training for your nannies),,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118804999317.0,I Agree (Continue with Survey),Male,36-40 years,Business Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118804996906.0,I Agree (Continue with Survey),Female,21-25years,Customer Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118804983391.0,I Agree (Continue with Survey),Female,26-30 years,Operations,,,,,,,,,,,,9,,,,,,,,,,,,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,,Work/job-related stressors,,,,,,,,,Work-life balance,,,,,,Baby minder trainings (training for your nannies),,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118804987479.0,I Agree (Continue with Survey),Male,36-40 years,Hospital Operations,,,,,,,,,,,,,,,   ,,,,,,,FOOTBALL,,,,,,,,,,,,Financial Wellbeing,,,,,,,,,,,,,,,na,,,,,na
118804963281.0,I Agree (Continue with Survey),Female,31-35 years,Customer Experience,9,,,,,,,,,,10,,8,,,GYM/AEROBICS,,,,,,,,,,DIET/NUTRITION PROGRAMS,,,,,,,,Financial Wellbeing,,,,,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804982741.0,I Agree (Continue with Survey),Female,26-30 years,Hospital Operations,1,4,1,6,1,1,1,1,1,5,1,1,4,10,,,,,,,,,,,,,,,QUIZ DAYS,,Work/job-related stressors,,Emotional Wellbeing,,,,,,,Work-life balance,,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118804980177.0,I Agree (Continue with Survey),Female,31-35 years,Customer Experience,3,1,4,5,1,5,1,1,1,1,4,6,6,3,,,,SWIMMING,,,,,,,,,,,,,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
