Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your respective functional unit from the dropdown below,"Rank the below proposed wellness activities in order of your preference and participation in the year 2025 (1 being the lowest, while 10 being the highest score)",Proposed wellness activities preference ranking - Proposed wellness activities ranking - ZUMBA,Proposed wellness activities preference ranking - Proposed wellness activities ranking - SWIMMING,Proposed wellness activities preference ranking - Proposed wellness activities ranking - HIKING,Proposed wellness activities preference ranking - Proposed wellness activities ranking - CYCLING,Proposed wellness activities preference ranking - Proposed wellness activities ranking - RUNNING,Proposed wellness activities preference ranking - Proposed wellness activities ranking - FOOTBALL,Proposed wellness activities preference ranking - Proposed wellness activities ranking - MEN’ S CAVE,Proposed wellness activities preference ranking - Proposed wellness activities ranking - LADIES CLUB,Proposed wellness activities preference ranking - Proposed wellness activities ranking - BOOK CLUB,Proposed wellness activities preference ranking - Proposed wellness activities ranking - DIET/NUTRITION PROGRAMS,Proposed wellness activities preference ranking - Proposed wellness activities ranking - STAIRCASE/STEP CHALLENGE,Proposed wellness activities preference ranking - Proposed wellness activities ranking - QUIZ DAYS,Proposed wellness activities preference ranking - Proposed wellness activities ranking - MEDITATION/YOGA/MUSIC,Proposed wellness activities preference ranking - Proposed wellness activities ranking - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Champion/Committee interested joining - ZUMBA,Champion/Committee interested joining - SWIMMING,Champion/Committee interested joining - HIKING,Champion/Committee interested joining - CYCLING,Champion/Committee interested joining - RUNNING,Champion/Committee interested joining - FOOTBALL,Champion/Committee interested joining - MEN'S CAVE,Champion/Committee interested joining - LADIES CLUB,Champion/Committee interested joining - BOOK CLUB,Champion/Committee interested joining - DIET/NUTRITION PROGRAMS,Champion/Committee interested joining - STAIRCASE/STEP CHALLENGE,Champion/Committee interested joining - QUIZ DAYS,Champion/Committee interested joining - MEDITATION/YOGA/MUSIC,"Please reflect on the Mental wellness-related issues listed below and tick the areas you would like us to address in our regular wellness sessions (where applicable, tick more than one option).",Mental wellness areas requested to address - Work/job-related stressors,Mental wellness areas requested to address - Building Healthy families,Mental wellness areas requested to address - Emotional Wellbeing,Mental wellness areas requested to address - Financial Wellbeing,"Mental wellness areas requested to address - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental wellness areas requested to address - Substance and Drug Dependence,Mental wellness areas requested to address - Healthy Relationships,Mental wellness areas requested to address - Unresolved Childhood Difficulties,Mental wellness areas requested to address - Anxiety and Depression,Mental wellness areas requested to address - Work-life balance,Mental wellness areas requested to address - Lifestyle diseases management,Mental wellness areas requested to address - Effective Parenting skills (Managing children and teenagers),Mental wellness areas requested to address - Other (please specify),Which of the following training programs would you like to attend?,Training programs would like to attend - Mental Health Peer counsellor,Training programs would like to attend - Baby minder trainings (training for your nannies),Training programs would like to attend - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training programs would like to attend - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training programs would like to attend - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & wellbeing club interested joining - Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Health & wellbeing club interested joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & wellbeing club interested joining - Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",Health & wellbeing club interested joining - Other (please specify)
114920919949.0,I Agree (Continue with Survey),Female,46-50 years,Sales,3,,,,,,,,,,,5,,5,,,,SWIMMING,,,,,,LADIES CLUB,BOOK CLUB,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,,,Financial Wellbeing,,,,,Anxiety and Depression,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114920916210.0,I Agree (Continue with Survey),Male,46-50 years,Supply,5,5,5,5,5,5,5,5,1,5,5,5,5,5,,,,,,,RUNNING,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),,,
114920915595.0,I Agree (Continue with Survey),Male,46-50 years,Sales,1,5,7,3,8,2,4,,,10,9,6,,,,,,,,,,,,,,,STAIRCASE/STEP CHALLENGE,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,,,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114920910361.0,I Agree (Continue with Survey),Male,41-45 years,Procurement,4,5,3,6,7,8,9,10,,,,,2,1,,,,,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,Substance and Drug Dependence,,,,,,Effective Parenting skills (Managing children and teenagers),,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114920908908.0,I Agree (Continue with Survey),Male,46-50 years,Sales,1,1,1,1,5,,10,5,1,10,10,1,2,9,,,,,,,,,MEN'S CAVE,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114920908270.0,I Agree (Continue with Survey),Female,46-50 years,HR and Admin,9,9,,,,,,,,,,,,9,,,,,,,,,,,BOOK CLUB,,,,MEDITATION/YOGA/MUSIC,,,,,,,,,,,,,,Perimenopause/Menopause,Wellness coordinators/ Ambassador for Change,,,,,Perimenopause/Menopause,,,,,Perimenopause/Menopause
114920901530.0,I Agree (Continue with Survey),Male,36-40 years,Supply,,,,,,,1,,,,,2,,,,,,SWIMMING,HIKING,,RUNNING,,MEN'S CAVE,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114920902368.0,I Agree (Continue with Survey),Male,46-50 years,Sales,,,,,,,,,,3,4,6,,4,,,,,,,RUNNING,,,,,,STAIRCASE/STEP CHALLENGE,,,Personal issues,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,,,Anxiety and Depression,Work-life balance,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114920899819.0,I Agree (Continue with Survey),Male,46-50 years,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114920899970.0,I Agree (Continue with Survey),Male,36-40 years,Supply,,,,,,,6,,,,,,,,,,,,,,,FOOTBALL,,,,,,,,,,,,Financial Wellbeing,,,,,,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),,,
114920900234.0,I Agree (Continue with Survey),Male,50+ years,Aviation,10,10,8,5,5,7,1,10,1,5,10,1,5,6,,GYM/AEROBICS,ZUMBA,SWIMMING,,,,,MEN'S CAVE,,,,,,,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114920901489.0,I Agree (Continue with Survey),Male,36-40 years,Finance,10,7,8,4,7,6,6,1,4,5,8,3,4,8,,GYM/AEROBICS,ZUMBA,SWIMMING,,CYCLING,,,,,,,,,MEDITATION/YOGA/MUSIC,,Work/job-related stressors,,,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114920901851.0,I Agree (Continue with Survey),Male,46-50 years,Finance,10,2,4,2,7,9,10,1,,9,10,10,10,10,,GYM/AEROBICS,,,,,RUNNING,FOOTBALL,,,BOOK CLUB,,,,MEDITATION/YOGA/MUSIC,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114918284104.0,I Agree (Continue with Survey),Female,21-25years,Aviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114917559539.0,I Agree (Continue with Survey),Female,26-30 years,HR and Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
