Respondent ID,Please select your gender ,Kindly select your age group,Please select your respective functional unit from the dropdown below.,"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Rank of wellness activities preference and participation (1 Least - 10 Highest) - ZUMBA,Rank of wellness activities preference and participation (1 Least - 10 Highest) - SWIMMING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - HIKING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - CYCLING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - RUNNING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - FOOTBALL,Rank of wellness activities preference and participation (1 Least - 10 Highest) - MEN’ S CAVE,Rank of wellness activities preference and participation (1 Least - 10 Highest) - LADIES CLUB,Rank of wellness activities preference and participation (1 Least - 10 Highest) - BOOK CLUB,Rank of wellness activities preference and participation (1 Least - 10 Highest) - DIET/NUTRITION PROGRAMS,Rank of wellness activities preference and participation (1 Least - 10 Highest) - STAIRCASE/STEP CHALLENGE,Rank of wellness activities preference and participation (1 Least - 10 Highest) - MEDITATION/YOGA/MUSIC,Rank of wellness activities preference and participation (1 Least - 10 Highest) - QUIZ DAYS,Rank of wellness activities preference and participation (1 Least - 10 Highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Champion/Committee Interested Joining - ZUMBA,Champion/Committee Interested Joining - SWIMMING,Champion/Committee Interested Joining - HIKING,Champion/Committee Interested Joining - CYCLING,Champion/Committee Interested Joining - RUNNING,Champion/Committee Interested Joining - FOOTBALL,Champion/Committee Interested Joining - MEN'S CAVE,Champion/Committee Interested Joining - LADIES CLUB,Champion/Committee Interested Joining - BOOK CLUB,Champion/Committee Interested Joining - DIET/NUTRITION PROGRAMS,Champion/Committee Interested Joining - STAIRCASE/STEP CHALLENGE,Champion/Committee Interested Joining - MEDITATION/YOGA/MUSIC,Champion/Committee Interested Joining - QUIZ DAYS,Please reflect on the Mental wellness-related issues listed below and tick the areas you would  like us to address in our regular wellness sessions (tick more than one option).,Mental Wellness Issue requestes to address - Work/job-related stressors,Mental Wellness Issue requestes to address - Building Healthy families,Mental Wellness Issue requestes to address - Emotional Wellbeing,Mental Wellness Issue requestes to address - Financial Wellbeing,"Mental Wellness Issue requestes to address - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental Wellness Issue requestes to address - Substance and Drug Dependence,Mental Wellness Issue requestes to address - Healthy Relationships,Mental Wellness Issue requestes to address - Unresolved Childhood Difficulties,Mental Wellness Issue requestes to address - Anxiety and Depression,Mental Wellness Issue requestes to address - Work-life balance,Mental Wellness Issue requestes to address - Lifestyle diseases management,Mental Wellness Issue requestes to address - Effective Parenting skills (Managing children and teenagers),Mental Wellness Issue requestes to address - Other (please specify),Which of the following training programs would you like to attend?,Training Program Interested Attending - Mental Health Peer counsellor,Training Program Interested Attending - Baby minder trainings (training for your nannies),Training Program Interested Attending - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training Program Interested Attending - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training Program Interested Attending - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & Wellbeing Club Interested Joining - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Health & Wellbeing Club Interested Joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & Wellbeing Club Interested Joining - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Health & Wellbeing Club Interested Joining - Other (please specify)
118537762405.0,Female,26-30 years,Nairobi Contact Center,8,1,5,8,5,3,1,1,10,10,10,3,10,10,,,,,,,,,,LADIES CLUB,BOOK CLUB,,,,QUIZ DAYS,,,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,,,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118537756326.0,Female,31-35 years,Nairobi Contact Center,2,1,2,1,7,1,1,1,6,2,7,8,10,7,,GYM/AEROBICS,,,,CYCLING,,,,LADIES CLUB,,,STAIRCASE/STEP CHALLENGE,MEDITATION/YOGA/MUSIC,,Personal issues,,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118537758166.0,Male,31-35 years,Nairobi Contact Center,4,4,4,10,10,10,8,10,10,8,6,10,8,7,,,,,HIKING,,,,,,,,,,,,,Building Healthy families,,,,,,,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118537758264.0,Female,31-35 years,Nairobi Contact Center,10,10,5,7,2,10,,1,10,5,10,10,10,10,,GYM/AEROBICS,,,,,,,,,,,,,,,,,,Financial Wellbeing,,,,,,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118537757509.0,Male,31-35 years,Nairobi Contact Center,6,5,10,9,10,10,10,10,,,8,5,5,8,,,,,,CYCLING,,,MEN'S CAVE,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118537691390.0,Male,31-35 years,Nairobi Contact Center,5,1,10,8,9,5,1,10,1,10,10,10,8,10,,,,SWIMMING,,CYCLING,,,,,BOOK CLUB,,,,,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,,,Anxiety and Depression,,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118537674781.0,Female,31-35 years,Nairobi Contact Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118537667609.0,Female,26-30 years,Nairobi Contact Center,10,10,1,5,10,8,1,1,10,10,10,1,10,8,,GYM/AEROBICS,,,,CYCLING,,,,LADIES CLUB,BOOK CLUB,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,,,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118537664875.0,Female,31-35 years,Nairobi Contact Center,10,10,5,10,1,10,1,,10,10,10,10,10,10,,,,,HIKING,,,,,,BOOK CLUB,,,MEDITATION/YOGA/MUSIC,QUIZ DAYS,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,Unresolved Childhood Difficulties,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118537657998.0,Female,36-40 years,Nairobi Contact Center,6,5,1,5,1,6,1,1,1,6,5,5,10,5,,,,,,,,,,,BOOK CLUB,,,,,,Work/job-related stressors,,Emotional Wellbeing,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118537658965.0,Male,31-35 years,Nairobi Contact Center,9,9,10,10,10,5,7,10,,,10,8,10,8,,GYM/AEROBICS,ZUMBA,SWIMMING,HIKING,CYCLING,,,MEN'S CAVE,,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118537655015.0,Female,31-35 years,Nairobi Contact Center,8,7,2,10,2,8,1,1,7,1,9,10,5,6,,,,,HIKING,,,,,,,,STAIRCASE/STEP CHALLENGE,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118537621556.0,Male,31-35 years,Member Service & Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118523672521.0,Male,31-35 years,Member Service & Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118523645763.0,Male,31-35 years,Member Service & Admin,6,2,9,4,8,2,6,9,6,10,10,8,9,10,,,,,,CYCLING,,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
