Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your respective City/Town of operation,Rank the below wellness activities in order of your preference and participation in the year 2025 (with 1 being the lowest score and 10 the highest).,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - ZUMBA,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - SWIMMING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - HIKING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - CYCLING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - RUNNING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - FOOTBALL,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - MEN’ S CAVE,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - LADIES CLUB,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - BOOK CLUB,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - DIET/NUTRITION PROGRAMS,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - STAIRCASE/STEP CHALLENGE,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - MEDITATION/YOGA/MUSIC,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - QUIZ DAYS,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Would Like To Join as Champion or Committee Member - ZUMBA,Would Like To Join as Champion or Committee Member - SWIMMING,Would Like To Join as Champion or Committee Member - HIKING,Would Like To Join as Champion or Committee Member - CYCLING,Would Like To Join as Champion or Committee Member - RUNNING,Would Like To Join as Champion or Committee Member - FOOTBALL,Would Like To Join as Champion or Committee Member - MEN'S CAVE,Would Like To Join as Champion or Committee Member - LADIES CLUB,Would Like To Join as Champion or Committee Member - BOOK CLUB,Would Like To Join as Champion or Committee Member - DIET/NUTRITION PROGRAMS,Would Like To Join as Champion or Committee Member - STAIRCASE/STEP CHALLENGE,Would Like To Join as Champion or Committee Member - MEDITATION/YOGA/MUSIC,Would Like To Join as Champion or Committee Member - QUIZ DAYS,Would Like To Join as Champion or Committee Member - Other (please specify),"Please reflect on the Mental wellness-related issues listed below and tick the areas you would like us to address in our regular wellness sessions (where applicable, tick more than one option).",Mental Wellness Issues Would Like Addressed - Work/job-related stressors,Mental Wellness Issues Would Like Addressed - Building Healthy families,Mental Wellness Issues Would Like Addressed - Emotional Wellbeing,Mental Wellness Issues Would Like Addressed - Financial Wellbeing,"Mental Wellness Issues Would Like Addressed - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental Wellness Issues Would Like Addressed - Substance and Drug Dependence,Mental Wellness Issues Would Like Addressed - Healthy Relationships,Mental Wellness Issues Would Like Addressed - Unresolved Childhood Difficulties,Mental Wellness Issues Would Like Addressed - Anxiety and Depression,Mental Wellness Issues Would Like Addressed - Work-life balance,Mental Wellness Issues Would Like Addressed - Lifestyle diseases management,Mental Wellness Issues Would Like Addressed - Effective Parenting skills (Managing children and teenagers),Mental Wellness Issues Would Like Addressed - Other (please specify),Which of the following training programs would you like to attend?,Training Programs Would Like To Attend - Mental Health Peer counsellor,Training Programs Would Like To Attend - Baby minder trainings (training for your nannies),Training Programs Would Like To Attend - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training Programs Would Like To Attend - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training Programs Would Like To Attend - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & Wellbeing Clubs Interested Joining - Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Health & Wellbeing Clubs Interested Joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & Wellbeing Clubs Interested Joining - Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",Health & Wellbeing Clubs Interested Joining - Other (please specify),Do you have a preferred gym?,"Please state the name, location and phone number of your preferred gym.",Location
118865835357.0,I Agree (Continue with Survey),Male,36-40 years,Nairobi,10,2,9,2,2,2,2,10,1,1,10,1,3,1,,GYM/AEROBICS,,,,,,,MEN'S CAVE,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,No,,
118865832103.0,I Agree (Continue with Survey),Female,36-40 years,Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118864345447.0,I Agree (Continue with Survey),Female,36-40 years,Nairobi,9,8,4,2,1,1,1,1,8,9,7,4,6,3,,,,,,,,,,LADIES CLUB,BOOK CLUB,,,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,Gymhouse & spa,Nyayo estate
118864187880.0,I Agree (Continue with Survey),Male,31-35 years,Nairobi,10,,10,10,10,10,10,10,,,,,,,,,,,,,,FOOTBALL,,,,,,,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,SMART GYMS THE HUB KAREN,KAREN
118864048607.0,I Agree (Continue with Survey),Female,41-45 years,Nairobi,10,10,10,,10,10,,,,,,,,,,GYM/AEROBICS,ZUMBA,SWIMMING,,,,,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,,,,Healthy Relationships,,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,Sosh Fitness,Signature Mall Mombasa Road
118864047603.0,I Agree (Continue with Survey),Female,31-35 years,Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118864043889.0,I Agree (Continue with Survey),Female,26-30 years,Nanyuki,10,10,10,10,10,5,1,1,10,8,10,8,10,8,Sauna and Steam Bath,GYM/AEROBICS,,,HIKING,CYCLING,,,,LADIES CLUB,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,,Work/job-related stressors,,Emotional Wellbeing,,,,Healthy Relationships,,,,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,Sportman's Arms,Nanyuki
118863991946.0,I Agree (Continue with Survey),Female,31-35 years,Nairobi,10,,,,6,,,,,,,,8,,Padel,,,,,,,,,,BOOK CLUB,,,,,,,,,Emotional Wellbeing,,,,,,Anxiety and Depression,,Lifestyle diseases management,,,,Mental Health Peer counsellor,,,,,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,F45 Training Gym lavington,Lavington Curve Mall
118863825181.0,I Agree (Continue with Survey),Male,36-40 years,Eldoret,8,1,7,3,9,10,1,1,,1,7,1,1,1,,GYM/AEROBICS,,SWIMMING,,CYCLING,RUNNING,,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,Rupaz Fun and Fitness Centre,Eldoret
118863544326.0,I Agree (Continue with Survey),Female,41-45 years,Nairobi,10,8,10,7,5,5,4,4,8,5,8,8,7,6,Golf,GYM/AEROBICS,,SWIMMING,,,,,,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,TJ & U fitness center ,"Buruburu, Rabai Road"
118863514992.0,I Agree (Continue with Survey),Male,36-40 years,Mombasa,1,,1,1,1,,1,,,2,,,2,1,,,,,,CYCLING,,FOOTBALL,,,BOOK CLUB,,,,QUIZ DAYS,,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,No,,
118863468998.0,I Agree (Continue with Survey),Female,36-40 years,Nairobi,10,7,9,2,1,5,1,1,9,3,10,10,2,5,,,,,,,,,,LADIES CLUB,,,,,,,,,,,Financial Wellbeing,,,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,Golden Gym Fitness,"Mountain View Mall, Rooftop, Waiyaki Way"
118863380056.0,I Agree (Continue with Survey),Female,36-40 years,Mombasa,9,8,4,4,3,1,1,1,7,8,7,7,8,2,,GYM/AEROBICS,ZUMBA,,HIKING,,,,,,BOOK CLUB,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,No,,
118863247224.0,I Agree (Continue with Survey),Female,36-40 years,Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118863094427.0,I Agree (Continue with Survey),Male,31-35 years,Nairobi,1,,2,,,,,,,3,,,,,,GYM/AEROBICS,,,,,,,,,,,,,,,,,,Emotional Wellbeing,Financial Wellbeing,,,,,Anxiety and Depression,,,,,,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,First Power Fitness,The Waterfront - Karen
118863216144.0,I Agree (Continue with Survey),Male,46-50 years,Nairobi,10,2,4,8,7,5,5,4,,5,5,4,6,4,Gym is my main interest,,,,,CYCLING,,,,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,,Effective Parenting skills (Managing children and teenagers),None ,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,The Smith Hotel Gym,Magadi Rd near Adventist University of Africa
118863177958.0,I Agree (Continue with Survey),Female,31-35 years,Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118863163429.0,I Agree (Continue with Survey),Male,36-40 years,Nanyuki,7,2,6,8,10,8,9,3,1,2,6,2,7,3,Padel,,,,,,,,,,,,,,,Padel,,,,,,,,,,,Work-life balance,,,,,,,,,?,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,,Yes,Padel point,Nanyuki
118863119008.0,I Agree (Continue with Survey),Female,31-35 years,Nairobi,10,9,7,7,1,10,1,,8,4,10,8,8,2,,,,,,,RUNNING,,,,,DIET/NUTRITION PROGRAMS,,,,,,,,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,No,,
118863145196.0,I Agree (Continue with Survey),Female,50+ years,Nairobi,10,5,9,2,9,1,1,1,8,4,4,3,8,3,,GYM/AEROBICS,,SWIMMING,,,,,,,,DIET/NUTRITION PROGRAMS,,,,,,,Building Healthy families,Emotional Wellbeing,,,,,,,Work-life balance,,,,,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,Evolve Fab and Fit,langata Nairobi
118863130780.0,I Agree (Continue with Survey),Male,50+ years,Nairobi,10,,,,,,,,,,8,5,3,3,,GYM/AEROBICS,,,,,,,,,,,,,,,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,,,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,Nadiano Fitness and Spa,"Prime Apartment, Rhapta Road, Westlands "
118863112759.0,I Agree (Continue with Survey),Female,46-50 years,Nairobi,10,7,9,4,1,3,1,1,1,1,9,1,1,1,,,,,HIKING,,,,,,,,,,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),,,,Yes,F45,Lavington 
118863113208.0,I Agree (Continue with Survey),Male,36-40 years,Nairobi,10,8,7,5,6,5,5,7,,5,10,6,8,7,,,,,,,,,,,,,,,,At a later stage,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,AfroFit Gym,"TRM Mall, Thika Road"
118863086559.0,I Agree (Continue with Survey),Female,31-35 years,Nairobi,10,,9,,6,1,1,1,7,6,8,5,4,3,,,,SWIMMING,,,,,,,,,,,,,,,Building Healthy families,,Financial Wellbeing,,,,,,,Lifestyle diseases management,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,,No,,
118863090357.0,I Agree (Continue with Survey),Female,41-45 years,Nairobi,7,5,1,3,1,1,1,1,5,1,4,9,5,3,,,ZUMBA,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,,Work/job-related stressors,,Emotional Wellbeing,,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,No,,
118863086340.0,I Agree (Continue with Survey),Female,41-45 years,Nairobi,1,2,,3,,,,,,,4,5,,,,GYM/AEROBICS,,,,,,,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,,,,,,Anxiety and Depression,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),,,,Yes,Smart Gym,The Hub- Karen
118863083904.0,I Agree (Continue with Survey),Female,46-50 years,Nairobi,9,9,5,1,3,4,1,1,8,8,9,7,6,6,,GYM/AEROBICS,,,,,,,,LADIES CLUB,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,,Unresolved Childhood Difficulties,Anxiety and Depression,,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,,Yes,Ultra Fitness Gym,Kilimani
