respondent_id,All matters on wellness were effectively communicated throughout the year(nuggets/teasers/flyers)?,The Wellness champion/ambassador in my division was proactively engaged in the 2016 Aon Wellness Program,"I was satisfied with the elaborate scope of wellness offerings/services (checksups/talks, launch, etc) provided in 2016?","All things considered, I was extremely satisfied with the overall 2016 Wellness Program experience?",What did you like best about the 2016 Aon Staff Wellness Program?,What did you like least about the 2016 Aon Staff Wellness Program?,Any suggestions for improvement? List below
6123314066.0,Agree,Disagree,Agree,Agree,It brought out some issues that I needed to work on and/or incorporate in my daily activities.,I do not know who the wellness champion in my division is - all the information came from the nuggets received on email.,Divisional Wellness Champions to be more engaging to staff.  In my case I do not know who this person is in my division.
6123314066.0,Agree,Disagree,Agree,Agree,It brought out some issues that I needed to work on and/or incorporate in my daily activities.,I do not know who the wellness champion in my division is - all the information came from the nuggets received on email.,Divisional Wellness Champions to be more engaging to staff.  In my case I do not know who this person is in my division.
6123314066.0,Agree,Disagree,Agree,Agree,It brought out some issues that I needed to work on and/or incorporate in my daily activities.,I do not know who the wellness champion in my division is - all the information came from the nuggets received on email.,Divisional Wellness Champions to be more engaging to staff.  In my case I do not know who this person is in my division.
6123314066.0,Agree,Disagree,Agree,Agree,It brought out some issues that I needed to work on and/or incorporate in my daily activities.,I do not know who the wellness champion in my division is - all the information came from the nuggets received on email.,Divisional Wellness Champions to be more engaging to staff.  In my case I do not know who this person is in my division.
6123316286.0,Agree,No response,No response,No response,No response,No response,No response
6123306848.0,Neither agree nor disagree/neutral,Agree,Agree,Neither agree nor disagree/neutral,1.The various wellness talks and especially one given by Dr. Wangai and the breast cancer talk.,"1.The wellness checkups lacked privacy, more so the HIV test.  2.Testing and interpretations of results being done in the same room and the desks being too close( lacked privacy) ",1.Check ups to be done in a ore professional way  2.have a calendar of all upcoming wellness events in advance  3.Wellness challenges should not only focus to the Gym goers but to the whole company
6123306848.0,Neither agree nor disagree/neutral,Agree,Agree,Neither agree nor disagree/neutral,1.The various wellness talks and especially one given by Dr. Wangai and the breast cancer talk.,"1.The wellness checkups lacked privacy, more so the HIV test.  2.Testing and interpretations of results being done in the same room and the desks being too close( lacked privacy) ",1.Check ups to be done in a ore professional way  2.have a calendar of all upcoming wellness events in advance  3.Wellness challenges should not only focus to the Gym goers but to the whole company
6123306848.0,Neither agree nor disagree/neutral,Agree,Agree,Neither agree nor disagree/neutral,1.The various wellness talks and especially one given by Dr. Wangai and the breast cancer talk.,"1.The wellness checkups lacked privacy, more so the HIV test.  2.Testing and interpretations of results being done in the same room and the desks being too close( lacked privacy) ",1.Check ups to be done in a ore professional way  2.have a calendar of all upcoming wellness events in advance  3.Wellness challenges should not only focus to the Gym goers but to the whole company
6123306848.0,Neither agree nor disagree/neutral,Agree,Agree,Neither agree nor disagree/neutral,1.The various wellness talks and especially one given by Dr. Wangai and the breast cancer talk.,"1.The wellness checkups lacked privacy, more so the HIV test.  2.Testing and interpretations of results being done in the same room and the desks being too close( lacked privacy) ",1.Check ups to be done in a ore professional way  2.have a calendar of all upcoming wellness events in advance  3.Wellness challenges should not only focus to the Gym goers but to the whole company
6123306848.0,Neither agree nor disagree/neutral,Agree,Agree,Neither agree nor disagree/neutral,1.The various wellness talks and especially one given by Dr. Wangai and the breast cancer talk.,"1.The wellness checkups lacked privacy, more so the HIV test.  2.Testing and interpretations of results being done in the same room and the desks being too close( lacked privacy) ",1.Check ups to be done in a ore professional way  2.have a calendar of all upcoming wellness events in advance  3.Wellness challenges should not only focus to the Gym goers but to the whole company
6123313653.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,all  areas met my expectation, No least liked,Increase dental Ksh allocation.
6123308676.0,Agree,Agree,Agree,Strongly agree,I wasn't there,I am a new staff,No response
6123314120.0,Strongly disagree,No response,No response,No response,No response,No response,No response
6123309700.0,Agree,Agree,Agree,Agree,Assistant accorded ,No response,-more activities   -staff engagement 
6123309700.0,Agree,Agree,Agree,Agree,Assistant accorded ,No response,-more activities   -staff engagement 
6123313192.0,Agree,No response,No response,No response,No response,No response,No response
6123311969.0,Strongly agree,Strongly agree,Agree,Strongly agree,The launch,The absence of Flu vaccination.,Add flu vaccination
6123311969.0,Strongly agree,Strongly agree,Agree,Strongly agree,The launch,The absence of Flu vaccination.,Add flu vaccination
6123311969.0,Strongly agree,Strongly agree,Agree,Strongly agree,The launch,The absence of Flu vaccination.,Add flu vaccination
6123311969.0,Strongly agree,Strongly agree,Agree,Strongly agree,The launch,The absence of Flu vaccination.,Add flu vaccination
6123307621.0,Agree,Agree,Disagree,Agree,The check ups that were held during the year.,No medical Talks,More talks on contemporary health matters
6123305645.0,Neither agree nor disagree/neutral,Agree,Agree,Agree,The checkups,The professionalism around the VCT test. ,No response
6123305645.0,Neither agree nor disagree/neutral,Agree,Agree,Agree,The checkups,The professionalism around the VCT test. ,No response
6123305645.0,Neither agree nor disagree/neutral,Agree,Agree,Agree,The checkups,The professionalism around the VCT test. ,No response
6123305645.0,Neither agree nor disagree/neutral,Agree,Agree,Agree,The checkups,The professionalism around the VCT test. ,No response
6123308921.0,Agree,Agree,Agree,Disagree,Wellness tests were undertaken and talks held on relevant subject matters. ,For the follow up visit to discuss my progress I was referred to a clinic in Ngara which I did not pursue.,Follow up on any medical improvements should be done from Aon.
6123308921.0,Agree,Agree,Agree,Disagree,Wellness tests were undertaken and talks held on relevant subject matters. ,For the follow up visit to discuss my progress I was referred to a clinic in Ngara which I did not pursue.,Follow up on any medical improvements should be done from Aon.
6123308921.0,Agree,Agree,Agree,Disagree,Wellness tests were undertaken and talks held on relevant subject matters. ,For the follow up visit to discuss my progress I was referred to a clinic in Ngara which I did not pursue.,Follow up on any medical improvements should be done from Aon.
6123308921.0,Agree,Agree,Agree,Disagree,Wellness tests were undertaken and talks held on relevant subject matters. ,For the follow up visit to discuss my progress I was referred to a clinic in Ngara which I did not pursue.,Follow up on any medical improvements should be done from Aon.
6123308921.0,Agree,Agree,Agree,Disagree,Wellness tests were undertaken and talks held on relevant subject matters. ,For the follow up visit to discuss my progress I was referred to a clinic in Ngara which I did not pursue.,Follow up on any medical improvements should be done from Aon.
6123308921.0,Agree,Agree,Agree,Disagree,Wellness tests were undertaken and talks held on relevant subject matters. ,For the follow up visit to discuss my progress I was referred to a clinic in Ngara which I did not pursue.,Follow up on any medical improvements should be done from Aon.
6123311435.0,Neither agree nor disagree/neutral,No response,No response,No response,No response,No response,No response
6123311244.0,Strongly agree,No response,No response,No response,No response,No response,No response
6123308136.0,Neither agree nor disagree/neutral,Neither agree nor disagree/neutral,Neither agree nor disagree/neutral,Neither agree nor disagree/neutral,I WASN'T EMPLOYED THEN BY AON,No response,I DONT  KNOW A LOT ABOUT WELLNESS BECAUSE I HAVE NO IDEA WHAT IT IS.
6123308533.0,Agree,Strongly agree,Agree,Agree,The convenience of the checksups and programs ,No response,Have more challneges on a monthly basis
6123308145.0,Disagree,Agree,Disagree,Neither agree nor disagree/neutral,I was able to know my BMI and the kilos I am to shed,frequency. it should be done more often,more education  more information
6123308407.0,Agree,Neither agree nor disagree/neutral,Disagree,Agree,No response,No response,More engagement expected this year.
6123306073.0,Disagree,Neither agree nor disagree/neutral,Agree,Disagree,The launch and the initial momentum ,Lack of continouos follow-up.  The champions were only active the first couple of days ,Wellness should consistently be emphasized until everyone gets to own it.  Simple practical steps and tips at least once a week would go far in incalcating positive wellness attitude.
6123307236.0,Agree,Agree,Agree,Agree,The talk on World AIDS day and also Cancer talk.,No response,No response
6123306862.0,Disagree,Agree,Agree,Agree,Tsc wellness program,Logistical supplies were limited.,Na
6123306136.0,Strongly agree,Agree,Agree,Agree,COMMUNICATION WAS WELL ENHANCED AND THE METHOD OF DEMONSTRATION WERE EFFECTIVE,No response,IMPROVE ON TIME MANAGEMENT
6123306136.0,Strongly agree,Agree,Agree,Agree,COMMUNICATION WAS WELL ENHANCED AND THE METHOD OF DEMONSTRATION WERE EFFECTIVE,No response,IMPROVE ON TIME MANAGEMENT
6123305783.0,Neither agree nor disagree/neutral,Neither agree nor disagree/neutral,Neither agree nor disagree/neutral,Neither agree nor disagree/neutral,The program needs to be devolved to the counties.  ,No response,Consider employees working at the counties 
6123307588.0,Strongly disagree,No response,No response,No response,No response,No response,No response
6123305945.0,Agree,Agree,Agree,Agree,the health checkups.,expected incentives were not met,more engaging outdoor activities to be implemented
6123305945.0,Agree,Agree,Agree,Agree,the health checkups.,expected incentives were not met,more engaging outdoor activities to be implemented
6123307155.0,Disagree,Disagree,Disagree,No response,No response,No response,No response
6123305701.0,Strongly agree,Agree,Strongly agree,Strongly agree,Communication well made.,Not available,Not available
6123306323.0,Disagree,Strongly disagree,Disagree,Strongly disagree,none,none,"we need new team,last year were jokers"
6123306111.0,Agree,Agree,Agree,Agree,All,All was okay,No idea
6123305753.0,Agree,Agree,Agree,Agree,Participation of all staff to include seniors ,We can improve on communication to staff ,Send calendar of activities to all and intermittent reminders 
6123305753.0,Agree,Agree,Agree,Agree,Participation of all staff to include seniors ,We can improve on communication to staff ,Send calendar of activities to all and intermittent reminders 
6123306458.0,Agree,No response,No response,No response,No response,No response,No response
6123306449.0,Strongly agree,Agree,Strongly agree,Strongly agree,No response,No response,No response
6123306644.0,Strongly agree,No response,No response,No response,No response,No response,No response
6123306510.0,Neither agree nor disagree/neutral,No response,No response,No response,No response,No response,No response
6123306175.0,Strongly disagree,No response,No response,No response,No response,No response,No response
6123306158.0,Agree,No response,No response,No response,No response,No response,No response
6123305650.0,Neither agree nor disagree/neutral,Disagree,Neither agree nor disagree/neutral,Neither agree nor disagree/neutral,was not around at the time,No response,No response
6123305961.0,Agree,No response,No response,No response,No response,No response,No response
6123305896.0,Strongly disagree,No response,No response,No response,No response,No response,No response
6123305453.0,Strongly disagree,No response,No response,No response,No response,No response,No response
