Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you",Are you aware of the Employee Assistance Program EAP available to you through Minet?,"If you are aware of the EAP, how comfortable do you feel using it to access support for personal or work-related issues?",Have you ever used the Employee Assistance Program (EAP)?,"If yes, how satisfied were you with the services you received from the EAP?","If you have not used the EAP, what are the main reasons? (Select all that apply)",EAP Non-Use Reason - Don’t think I need the services,EAP Non-Use Reason - Privacy concerns,EAP Non-Use Reason - Don’t feel comfortable using it,EAP Non-Use Reason - Lack of time to use the services,EAP Non-Use Reason - I prefer to handle issues on my own,EAP Non-Use Reason - Other (please specify),"What, if anything, would encourage you to use the EAP in the future?",What would Encourage you to use EAP in future - Other (please specify),Would you like us to link you or your dependents to our professional counselors for support?,"If yes, please provide your contact information",Do yo have any suggestions for improving the Employee Assistance Program?,Any additional comments or thoughts regarding the EAP?,How would you rate the state of your mental well-being?,What challenges are you currently facing?,Current Challenges - Other (please specify),Please reflect on the mental Wellness related issues listed below and tick the areas you would like us to address on our regular sessions? (Select more than one if applicable),Mental Wellness Issues Would Like Adressed - Emotional intelligence,Mental Wellness Issues Would Like Adressed - Financial constraints,Mental Wellness Issues Would Like Adressed - Trauma,Mental Wellness Issues Would Like Adressed - Substance and Drug Dependence,Mental Wellness Issues Would Like Adressed - Relationship Difficulties,Mental Wellness Issues Would Like Adressed - Unresolved Childhood Difficulties,Mental Wellness Issues Would Like Adressed - Anxiety and Depression,Mental Wellness Issues Would Like Adressed - Other (please specify),How many hours do you sleep per day?,How often do you smoke?,How often do you drink alcohol?,How would you rate your overall nutrition and eating habits?,Do you regularly schedule and attend annual wellness checkups with a healthcare provider?,How would you describe your exercise routine or physical activity level?,Which of the following physical activities do you regularly engage in? (Select all that apply),Which Physical Activities Do You Regularly Engage In - Running or Jogging,Which Physical Activities Do You Regularly Engage In - Cycling,Which Physical Activities Do You Regularly Engage In - Swimming,"Which Physical Activities Do You Regularly Engage In - Strength training (e.g., weightlifting, resistance exercises)",Which Physical Activities Do You Regularly Engage In - Yoga or Pilates,"Which Physical Activities Do You Regularly Engage In - Team sports (e.g., soccer, basketball, volleyball)",Which Physical Activities Do You Regularly Engage In - Hiking,Which Physical Activities Do You Regularly Engage In - Dancing,Which Physical Activities Do You Regularly Engage In - Other (please specify)
114812453262.0,I Agree,Yes,Comfortable,No,Neither satisfied nor dissatisfied,,,,,Lack of time to use the services,,,Other (please specify),More awareness/education about the program,Yes,,N/a,"I think it is a foreign concept which has yet to be accepted in Kenya. It is a very useful program, but more awareness and push by HR and management will go a long way in ensuring it's success.",Good,Other (please specify),"Financial, relationship, arenting in short a multitude of challenges",Work/job related stressors,Emotional intelligence,Financial constraints,,Substance and Drug Dependence,Relationship Difficulties,,Anxiety and Depression,,7 - 9,Once in a few weeks,Once in a few weeks,Healthy,"Yes, I attend checkups every year",·Active (I engage in moderate exercise several times a week),,Running or Jogging,Cycling,,,,,,,
114811674975.0,I Agree,Yes,Comfortable,No,Satisfied,,,,,,,Will use when I need the services,More awareness/education about the program,,No,,,,Very Good,None of the above,,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,7 - 9,Never,Never,Healthy,"No, I haven’t had one in the past year but plan to",·Active (I engage in moderate exercise several times a week),Walking,Running or Jogging,,,"Strength training (e.g., weightlifting, resistance exercises)",,,,,
114811580456.0,I Agree,Yes,Neutral,Yes,Satisfied,,,,,,,I have used the service. ,Increased privacy/confidentiality,,No,,Ensure confidentiality. The response time from contacting Minet to being assigned a counselor is lengthy.,,Fair,Anxiety,,Work/job related stressors,,,,,,,,,4 - 6,Never,Never,Neutral,"Yes, I attend checkups every year",Occasionally Active (I exercise occasionally or do light physical activities),Walking,,,,,,,Hiking,,
114810810281.0,I Agree,Yes,Neutral,No,Neither satisfied nor dissatisfied,,,,,,I prefer to handle issues on my own,,Increased privacy/confidentiality,,No,,,,Excellent,Fear of the unknown,,Work/job related stressors,Emotional intelligence,,Trauma,,Relationship Difficulties,,Anxiety and Depression,,7 - 9,Never,Never,Healthy,"No, I don’t attend regular checkups",·Active (I engage in moderate exercise several times a week),Walking,Running or Jogging,,,,,,Hiking,,
114810709033.0,I Agree,No,Neutral,No,Neither satisfied nor dissatisfied,Not aware of how to access it,,,,,,,More awareness/education about the program,,,,,,Fair,Feeling overwhelmed and isolated,,Work/job related stressors,Emotional intelligence,Financial constraints,,,,,,,4 - 6,Never,Once in a few weeks,Neutral,"No, I haven’t had one in the past year but plan to",Occasionally Active (I exercise occasionally or do light physical activities),Walking,,,,,,,,Dancing,
114810072085.0,I Agree,Yes,Comfortable,No,Neither satisfied nor dissatisfied,,,,,,I prefer to handle issues on my own,,More awareness/education about the program,,No,,,,Very Good,Anxiety,,Work/job related stressors,Emotional intelligence,Financial constraints,,,Relationship Difficulties,,Anxiety and Depression,,4 - 6,Never,Once in a few weeks,Healthy,"No, I don’t attend regular checkups",Occasionally Active (I exercise occasionally or do light physical activities),Walking,Running or Jogging,,,"Strength training (e.g., weightlifting, resistance exercises)",,,,,
114810014399.0,I Agree,Yes,Comfortable,No,Satisfied,Not aware of how to access it,,,,,,,More awareness/education about the program,,Yes,,,,Good,Fear of the unknown,,Work/job related stressors,Emotional intelligence,Financial constraints,,,,,,,4 - 6,Never,Never,Neutral,"No, I haven’t had one in the past year but plan to",Occasionally Active (I exercise occasionally or do light physical activities),Walking,Running or Jogging,,,,,,,,
114809993486.0,I Agree,Yes,Comfortable,No,Neither satisfied nor dissatisfied,,,,Don’t feel comfortable using it,,,,More awareness/education about the program,,Yes,,"Regularly promoting EAP services through emails, posters, and team meetings.  Holding open forums where employees can share their experiences and ideas.  ",,Very Good,None of the above,,Work/job related stressors,,,Trauma,,,,,,4 - 6,Never,Once in a few weeks,Healthy,"Yes, I attend checkups every year",·Active (I engage in moderate exercise several times a week),Walking,Running or Jogging,Cycling,,"Strength training (e.g., weightlifting, resistance exercises)",,,,,
114809992984.0,I Agree,No,Neutral,No,Neither satisfied nor dissatisfied,Not aware of how to access it,,,,,,,Ease of access to services,,,,,,Very Good,Fear of the unknown,,Work/job related stressors,Emotional intelligence,Financial constraints,,,,Unresolved Childhood Difficulties,Anxiety and Depression,,7 - 9,Never,Once in a few weeks,Healthy,"Yes, I attend checkups every year",·Active (I engage in moderate exercise several times a week),Walking,,,,,Yoga or Pilates,,Hiking,,
114809992511.0,I Agree,No,Neutral,No,Neither satisfied nor dissatisfied,Not aware of how to access it,,,,,,,More awareness/education about the program,,,,,,Excellent,None of the above,,Work/job related stressors,,,,,,,,,4 - 6,Never,Never,Very Healthy,"Yes, I attend checkups every year",Very Active (I exercise vigorously most days of the week),Walking,Running or Jogging,,Swimming,"Strength training (e.g., weightlifting, resistance exercises)",Yoga or Pilates,,,,
114809998509.0,I Agree,No,Neutral,No,Neither satisfied nor dissatisfied,,,,,,,Not conversant with it.,Other (please specify),Knowing what it is and how it works.,,,,,Excellent,Financial challenges,,Work/job related stressors,,Financial constraints,,,,,,,7 - 9,Never,Never,Healthy,"Yes, but sometimes I miss or delay them",Very Active (I exercise vigorously most days of the week),,Running or Jogging,,,"Strength training (e.g., weightlifting, resistance exercises)",,"Team sports (e.g., soccer, basketball, volleyball)",,,
114809993052.0,I Agree,Yes,Comfortable,No,Neither satisfied nor dissatisfied,Not aware of how to access it,,,,,,,More awareness/education about the program,,Yes,,,,Very Good,Parenting,,Work/job related stressors,Emotional intelligence,Financial constraints,,,,,,,7 - 9,Never,Once in a few weeks,Healthy,"Yes, but sometimes I miss or delay them",Occasionally Active (I exercise occasionally or do light physical activities),Walking,,Cycling,,"Strength training (e.g., weightlifting, resistance exercises)",,,,,
114809315504.0,I Agree,Yes,Comfortable,No,Neither satisfied nor dissatisfied,,,Privacy concerns,,,,,More awareness/education about the program,,No,,Not at the moment,Not at the moment,Good,Financial challenges,,Work/job related stressors,Emotional intelligence,,,,Relationship Difficulties,,Anxiety and Depression,,4 - 6,Never,Once in a few weeks,Very Unhealthy,"Yes, but sometimes I miss or delay them",Occasionally Active (I exercise occasionally or do light physical activities),Walking,,Cycling,,,,"Team sports (e.g., soccer, basketball, volleyball)",,,
114804414519.0,I Agree,Yes,Neutral,No,Neither satisfied nor dissatisfied,Not aware of how to access it,,Privacy concerns,,Lack of time to use the services,,,Increased privacy/confidentiality,,No,,Share the panel of doctors available and their specialty ,provide a digital handbook for the service  and how it works ,Fair,Fear of the unknown,,,,,Trauma,,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,7 - 9,Never,Once in a few weeks,Healthy,"No, I haven’t had one in the past year but plan to",·Active (I engage in moderate exercise several times a week),Walking,Running or Jogging,,,"Strength training (e.g., weightlifting, resistance exercises)",,,,,
114804343568.0,I Agree,Yes,Neutral,No,Neither satisfied nor dissatisfied,Not aware of how to access it,,,,,,,More awareness/education about the program,,Yes,,Increase awareness,Increase awareness,Good,Other (please specify),,Work/job related stressors,,,,,,,,,7 - 9,Never,Once in a few weeks,Healthy,"No, I don’t attend regular checkups",·Active (I engage in moderate exercise several times a week),Walking,,,,,,,,,
114804349159.0,I Agree,Yes,Neutral,No,Neither satisfied nor dissatisfied,,,Privacy concerns,Don’t feel comfortable using it,,,,Encouragement from leadership/HR,,No,,,,Fair,Feeling overwhelmed and isolated,,Work/job related stressors,,,,,,,,,7 - 9,Never,Never,Neutral,"No, I haven’t had one in the past year but plan to",Occasionally Active (I exercise occasionally or do light physical activities),Walking,,,,,,,,,
114803645236.0,I Agree,Yes,Uncomfortable,No,Neither satisfied nor dissatisfied,,,,,,,I wonder about the quality of the service providers and the confidentiality of my information.,Increased privacy/confidentiality,,No,,Proof  and testimonials that it really works,Not at the moment,Very Good,Other (please specify),"Children not finding work,health challenges and having enough financail organization in light of the impending retirement",Work/job related stressors,Emotional intelligence,,,,,,,How to motivate staff and how staff can motivate themselves too,4 - 6,Never,Once in a few weeks,Neutral,"Yes, but sometimes I miss or delay them",·Active (I engage in moderate exercise several times a week),,Running or Jogging,,,,,,,,
114803625820.0,I Agree,Yes,Comfortable,No,Satisfied,,Don’t think I need the services,,,,I prefer to handle issues on my own,,More awareness/education about the program,,No,,,,Good,Feeling overwhelmed and isolated,,,Emotional intelligence,Financial constraints,,Substance and Drug Dependence,Relationship Difficulties,,,,7 - 9,Never,Once in a few weeks,Healthy,"No, I haven’t had one in the past year but plan to",Occasionally Active (I exercise occasionally or do light physical activities),Walking,,,,"Strength training (e.g., weightlifting, resistance exercises)",,,,,
